{'sample_size': 16000, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 2.681615110437627e-06}
{'sample_size': 1000, 'difference': -94, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00014973458866650492}
{'sample_size': 1000, 'difference': -46, 'noise': 0.001, 'n': 60, 'shap_error': 0.00015455966919383413}
{'sample_size': 1000, 'difference': -150, 'noise': 0.005, 'n': 60, 'shap_error': 0.00019012480645225714}
{'sample_size': 1000, 'difference': -96, 'noise': 0.01, 'n': 60, 'shap_error': 0.0001478922860717358}
{'sample_size': 1000, 'difference': -56, 'noise': 0.05, 'n': 60, 'shap_error': 0.0001611506758641608}
{'sample_size': 1000, 'difference': -56, 'noise': 0.1, 'n': 60, 'shap_error': 0.00020485469216288736}
{'sample_size': 1000, 'difference': -68, 'noise': 0.5, 'n': 60, 'shap_error': 0.0038535652411876052}
{'sample_size': 1000, 'difference': -98, 'noise': 1, 'n': 60, 'shap_error': 0.014980492531549578}
{'sample_size': 1000, 'difference': -92, 'noise': 0.0005, 'n': 60, 'shap_error': 1.7635809318849958e-06}
{'sample_size': 1000, 'difference': -68, 'noise': 0.001, 'n': 60, 'shap_error': 1.220678172913263e-06}
{'sample_size': 1000, 'difference': -150, 'noise': 0.005, 'n': 60, 'shap_error': 2.0808967220028113e-06}
{'sample_size': 1000, 'difference': -82, 'noise': 0.01, 'n': 60, 'shap_error': 2.5271840247486786e-06}
{'sample_size': 1000, 'difference': -70, 'noise': 0.05, 'n': 60, 'shap_error': 2.708097101372434e-05}
{'sample_size': 1000, 'difference': -40, 'noise': 0.1, 'n': 60, 'shap_error': 0.000141392675063529}
{'sample_size': 1000, 'difference': -74, 'noise': 0.5, 'n': 60, 'shap_error': 0.0052781868898677635}
{'sample_size': 1000, 'difference': -44, 'noise': 1, 'n': 60, 'shap_error': 0.01231721969574019}
{'sample_size': 1000, 'difference': -40, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0001540123368075367}
{'sample_size': 1000, 'difference': -68, 'noise': 0.001, 'n': 60, 'shap_error': 0.00016974179348245663}
{'sample_size': 1000, 'difference': -92, 'noise': 0.005, 'n': 60, 'shap_error': 0.0001669815858742164}
{'sample_size': 1000, 'difference': -70, 'noise': 0.01, 'n': 60, 'shap_error': 0.00018621774893985316}
{'sample_size': 1000, 'difference': -38, 'noise': 0.05, 'n': 60, 'shap_error': 0.00018863178851129137}
{'sample_size': 1000, 'difference': -54, 'noise': 0.1, 'n': 60, 'shap_error': 0.00015763650215233516}
{'sample_size': 1000, 'difference': -140, 'noise': 0.5, 'n': 60, 'shap_error': 0.0023912089145394794}
{'sample_size': 1000, 'difference': -98, 'noise': 1, 'n': 60, 'shap_error': 0.01463472600104692}
{'sample_size': 1000, 'difference': -80, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0003566349004926382}
{'sample_size': 1000, 'difference': -116, 'noise': 0.001, 'n': 60, 'shap_error': 0.0003787212124057153}
{'sample_size': 1000, 'difference': -34, 'noise': 0.005, 'n': 60, 'shap_error': 0.00029619880748879096}
{'sample_size': 1000, 'difference': 6, 'noise': 0.01, 'n': 60, 'shap_error': 0.0002516350445644891}
{'sample_size': 1000, 'difference': -30, 'noise': 0.05, 'n': 60, 'shap_error': 0.00023577768094973863}
{'sample_size': 1000, 'difference': -86, 'noise': 0.1, 'n': 60, 'shap_error': 0.00043174099724201017}
{'sample_size': 1000, 'difference': -18, 'noise': 0.5, 'n': 60, 'shap_error': 0.004312756273274683}
{'sample_size': 1000, 'difference': -52, 'noise': 1, 'n': 60, 'shap_error': 0.014465258748491605}
{'sample_size': 1000, 'difference': -102, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00011710435322703263}
{'sample_size': 1000, 'difference': -70, 'noise': 0.001, 'n': 60, 'shap_error': 0.00017022575604481595}
{'sample_size': 1000, 'difference': -48, 'noise': 0.005, 'n': 60, 'shap_error': 7.669959861148253e-05}
{'sample_size': 1000, 'difference': -10, 'noise': 0.01, 'n': 60, 'shap_error': 0.00012265469397968238}
{'sample_size': 1000, 'difference': -112, 'noise': 0.05, 'n': 60, 'shap_error': 0.00015076972877753092}
{'sample_size': 1000, 'difference': -32, 'noise': 0.1, 'n': 60, 'shap_error': 0.00020915922749451004}
{'sample_size': 1000, 'difference': -100, 'noise': 0.5, 'n': 60, 'shap_error': 0.0031780227330769372}
{'sample_size': 1000, 'difference': -70, 'noise': 1, 'n': 60, 'shap_error': 0.013663310515701691}
{'sample_size': 1000, 'difference': -108, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00021674948022689508}
{'sample_size': 1000, 'difference': -42, 'noise': 0.001, 'n': 60, 'shap_error': 0.00012913753665600434}
{'sample_size': 1000, 'difference': -126, 'noise': 0.005, 'n': 60, 'shap_error': 0.00015408224690733759}
{'sample_size': 1000, 'difference': -34, 'noise': 0.01, 'n': 60, 'shap_error': 9.428934343366384e-05}
{'sample_size': 1000, 'difference': 16, 'noise': 0.05, 'n': 60, 'shap_error': 0.00012211502384169715}
{'sample_size': 1000, 'difference': -84, 'noise': 0.1, 'n': 60, 'shap_error': 0.00031921395064182616}
{'sample_size': 1000, 'difference': -68, 'noise': 0.5, 'n': 60, 'shap_error': 0.006533930332170101}
{'sample_size': 1000, 'difference': -36, 'noise': 1, 'n': 60, 'shap_error': 0.02802076227419248}
{'sample_size': 1000, 'difference': -60, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0003089474040945478}
{'sample_size': 1000, 'difference': -30, 'noise': 0.001, 'n': 60, 'shap_error': 0.00032077463912948476}
{'sample_size': 1000, 'difference': -90, 'noise': 0.005, 'n': 60, 'shap_error': 0.0003216234790658619}
{'sample_size': 1000, 'difference': -8, 'noise': 0.01, 'n': 60, 'shap_error': 0.0002395297219883303}
{'sample_size': 1000, 'difference': -122, 'noise': 0.05, 'n': 60, 'shap_error': 0.00040052874907588686}
{'sample_size': 1000, 'difference': -26, 'noise': 0.1, 'n': 60, 'shap_error': 0.0003160206061564767}
{'sample_size': 1000, 'difference': -82, 'noise': 0.5, 'n': 60, 'shap_error': 0.0038364179957341787}
{'sample_size': 1000, 'difference': -86, 'noise': 1, 'n': 60, 'shap_error': 0.012123873485414492}
{'sample_size': 1000, 'difference': -68, 'noise': 0.0005, 'n': 60, 'shap_error': 9.856108724334998e-06}
{'sample_size': 1000, 'difference': -96, 'noise': 0.001, 'n': 60, 'shap_error': 7.873428848085867e-06}
{'sample_size': 1000, 'difference': -52, 'noise': 0.005, 'n': 60, 'shap_error': 1.1848837608436258e-05}
{'sample_size': 1000, 'difference': -100, 'noise': 0.01, 'n': 60, 'shap_error': 1.4163672840034585e-05}
{'sample_size': 1000, 'difference': -24, 'noise': 0.05, 'n': 60, 'shap_error': 6.987107337052273e-05}
{'sample_size': 1000, 'difference': -112, 'noise': 0.1, 'n': 60, 'shap_error': 0.0003427905551994979}
{'sample_size': 1000, 'difference': -32, 'noise': 0.5, 'n': 60, 'shap_error': 0.006213934711517195}
{'sample_size': 1000, 'difference': -46, 'noise': 1, 'n': 60, 'shap_error': 0.03494710270002806}
{'sample_size': 1000, 'difference': 14, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00019606259342009016}
{'sample_size': 1000, 'difference': -36, 'noise': 0.001, 'n': 60, 'shap_error': 0.00020758138795788178}
{'sample_size': 1000, 'difference': -104, 'noise': 0.005, 'n': 60, 'shap_error': 0.00013598996220547663}
{'sample_size': 1000, 'difference': -38, 'noise': 0.01, 'n': 60, 'shap_error': 0.00013406341311899506}
{'sample_size': 1000, 'difference': -36, 'noise': 0.05, 'n': 60, 'shap_error': 0.0001798675203883541}
{'sample_size': 1000, 'difference': -68, 'noise': 0.1, 'n': 60, 'shap_error': 0.0004436785218118053}
{'sample_size': 1000, 'difference': -100, 'noise': 0.5, 'n': 60, 'shap_error': 0.004776293305876356}
{'sample_size': 1000, 'difference': -58, 'noise': 1, 'n': 60, 'shap_error': 0.015674269403345462}
{'sample_size': 1000, 'difference': -8, 'noise': 0.0005, 'n': 60, 'shap_error': 7.1948757562712e-05}
{'sample_size': 1000, 'difference': -68, 'noise': 0.001, 'n': 60, 'shap_error': 5.013934914910434e-05}
{'sample_size': 1000, 'difference': -16, 'noise': 0.005, 'n': 60, 'shap_error': 5.814368858873616e-05}
{'sample_size': 1000, 'difference': -32, 'noise': 0.01, 'n': 60, 'shap_error': 6.56850551217683e-05}
{'sample_size': 1000, 'difference': -70, 'noise': 0.05, 'n': 60, 'shap_error': 6.993901461870919e-05}
{'sample_size': 1000, 'difference': -8, 'noise': 0.1, 'n': 60, 'shap_error': 0.00021784543064581503}
{'sample_size': 1000, 'difference': -48, 'noise': 0.5, 'n': 60, 'shap_error': 0.003732318491171126}
{'sample_size': 1000, 'difference': -96, 'noise': 1, 'n': 60, 'shap_error': 0.011169772985235776}
