{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 41.81358998370091}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 32.182664559478}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 45.025473869649275}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 38.81418382527614}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 34.02344169522524}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 33.002520042414986}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 2.960901744650004}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 2.765726303420818}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 3.055279110708978}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 3.6425067075010498}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 2.9263603033806405}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 3.238428816430125}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 3.866609018379009}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 3.6136992870520017}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 20.075688051953474}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 20.030383922539702}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 22.559447282150916}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 23.477078792920718}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 23.320205401501312}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 12.333606614591249}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 20.077484239082054}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 23.297674208324466}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 188.47599764727593}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 191.2921438128037}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 167.6665061928416}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 197.59610361318258}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 230.29342717629817}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 250.74459954658062}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 180.04981341450667}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 155.90610342306599}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 28.067171481120074}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 30.14262210369178}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 35.30908419902396}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 34.81631586149299}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 26.167022327884936}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 27.057347335503334}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 32.09600461994954}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 43.56676435526495}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 33.29795246522686}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 32.06052009576654}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 28.02696350396301}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 37.02715577034408}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 35.0252554601369}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 31.651841971177205}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 28.974217500057954}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 34.18338627976952}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 26.219218231500104}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 32.06839900430591}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 28.904552161040073}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 35.64339112210046}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 26.146655518800188}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 26.657364029385764}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 29.94328898333347}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 35.586331360638994}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 12.504522796731287}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 15.830702796433881}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 14.966902980760954}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 13.368721287456157}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 20.14355922219827}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 14.815775123740256}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 14.032079954865184}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 10.360307369838726}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 33.369735804278505}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 34.332455133473744}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 28.114650731203117}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 29.443529761454663}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 40.7229989652048}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 29.070039759860332}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 36.656492917031365}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 33.84786867784339}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 7.528296770049633}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 9.318364510587774}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 8.287458559336562}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 10.911675511492971}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 7.878493658971895}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 10.659446010288224}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 10.832789655456919}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 10.393775677424042}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 66.02096386691125}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 33.532091816929594}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 17.141021283326157}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.46750922132912}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.580201333061205}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.40805743349574}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 29.331214942320276}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 15.528790438573404}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 8.035650315717735}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.971162387539122}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.7775159156514757}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.7941862270013745}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 193.7408628376861}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 75.6758766624502}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 28.375416545749385}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.424971662748607}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.8250769615790166}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.851943295405429}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 100.83774403955337}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 45.311073595945885}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 31.028329494494606}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 11.557587948459682}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 5.479369361943833}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.6410150012174247}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 57.92147903457176}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 19.561765385975164}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 11.284677216915524}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.2700788055244265}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.7932767295576197}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.8292390647518586}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 77.49245874464853}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 26.896937292777228}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 17.201463251965702}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 8.189326413053426}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.416734844645042}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.1620629872598607}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 52.47654902651765}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 26.467253948119428}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 13.556178189642763}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 5.7221910861647345}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.18004330739935}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.217831263290937}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 70.32299074362115}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 39.499134838856705}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.608937292562327}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.561271568920242}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.109996055957168}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.887364785107853}
