{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 13.42352355960189}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.563519397136798}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 558.2093714696663}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 162.85830503494984}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 119.6902434914342}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 49.40372901646819}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 21.873123977413197}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 15.548438024966853}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 57.16635756796755}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 16.438018838487864}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.2874872214781}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.9716136783893092}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.3992532278518306}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.3261831253237888}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 41.06447195992064}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 17.393336644160247}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 9.590463404129295}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.0631468490773592}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.054567620946271}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.0278789266758823}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 12.840914546697107}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 5.5248394254068875}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.7486037704953743}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.4409528117206871}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.5863782645024849}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.3718318408336676}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 38.58185364537643}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.687693402985442}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.334029581019115}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.1152210401498057}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.6390167051103728}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.9182261629603844}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 1173.0354135102434}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 365.0609264323692}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 133.9803917950926}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 99.3960587820317}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 37.40625412256413}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 25.044180097822306}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 50.31286497396986}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 21.396404106806752}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 8.889965753350557}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.8932998874663793}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.372676847407645}
