{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1771641085629831, 'weighted_error': 1.0011188061776755}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.035945632721851285, 'weighted_error': 1.0002270043732773}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2058846102381035, 'weighted_error': 1.0075035689717953}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.13288409065791582, 'weighted_error': 1.0048430540104873}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.13818973342964586, 'weighted_error': 1.0050363729091238}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06394011358354387, 'weighted_error': 1.0023303464109625}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.016481041147416782, 'weighted_error': 1.0006006679454205}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01410511620493512, 'weighted_error': 1.0005140465948525}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.9204198990279909, 'weighted_error': 1.0285013127269422}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.278780033705863, 'weighted_error': 1.0086326082114059}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2520453161363002, 'weighted_error': 1.0078047273594744}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04466148672997761, 'weighted_error': 1.00138296479898}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0632386393380913, 'weighted_error': 1.0019582268428424}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.014727406088083695, 'weighted_error': 1.0004560411803012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.28169830349900793, 'weighted_error': 1.00428381785497}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.2224353840251197, 'weighted_error': 1.0033824542847691}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.388979368316584, 'weighted_error': 1.005915177451382}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.5755042587067732, 'weighted_error': 1.008751789970019}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.17889671241862756, 'weighted_error': 1.0027193364232256}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.6526019178842403, 'weighted_error': 1.0099218113128532}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.872196386228169, 'weighted_error': 1.0132450501471626}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.7137734436535729, 'weighted_error': 1.0108417875562303}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.6390900111051316, 'weighted_error': 1.0122830372747282}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.3555287373607722, 'weighted_error': 1.006833198140388}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.1655681444800902, 'weighted_error': 1.0031821716498417}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.46271034821994733, 'weighted_error': 1.0088929424393132}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.4433061477630975, 'weighted_error': 1.008520093938807}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.7336819762529301, 'weighted_error': 1.0141005843474784}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.4568967264210972, 'weighted_error': 1.0087785175219035}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.2934882377013506, 'weighted_error': 1.0056294894115108}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.6718771257396139, 'weighted_error': 1.0073113550579447}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.6035597738178955, 'weighted_error': 1.006567914981156}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.9500844425004769, 'weighted_error': 1.010338817117387}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.6272233709695368, 'weighted_error': 1.0068254723591912}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.5915747671767323, 'weighted_error': 1.0064357651495681}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.5222387211170203, 'weighted_error': 1.005680042428512}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 1.1939637461684567, 'weighted_error': 1.0129421081384675}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.93241180454797, 'weighted_error': 1.009423203159869}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.4476699788127094, 'weighted_error': 1.007643575715035}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.5616784260273049, 'weighted_error': 1.0095900782058522}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.8713997397163231, 'weighted_error': 1.0148783740237164}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.4120559080644931, 'weighted_error': 1.0070354614720969}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.5690435383740772, 'weighted_error': 1.0097158071283445}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.1408924579663697, 'weighted_error': 1.0024015996690674}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.4421550000515266, 'weighted_error': 1.0075484128107481}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.4885026531725896, 'weighted_error': 1.0060621120957312}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 5.633823133827997, 'weighted_error': 1.0141767484498028}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 3.740610428077281, 'weighted_error': 1.0094128331395074}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 5.0551607042157976, 'weighted_error': 1.012720672866133}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 5.224364991245276, 'weighted_error': 1.0131464934771905}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 4.833981293344984, 'weighted_error': 1.0121640313555993}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.6245107828526689, 'weighted_error': 1.0015712304789108}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 4.510255608546359, 'weighted_error': 1.0113488829949615}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 4.78285629442635, 'weighted_error': 1.012011137517299}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.8139723714487698, 'weighted_error': 1.0101250845460525}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.8080092642704357, 'weighted_error': 1.010050894883095}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.8857451322901895, 'weighted_error': 1.0110178878378229}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.23917737896854194, 'weighted_error': 1.0029751211097295}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.7684751943723924, 'weighted_error': 1.0095588855279651}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.9092830922673396, 'weighted_error': 1.0112978841973692}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 1.1793009687109053, 'weighted_error': 1.0146368310689529}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.36627184136749924, 'weighted_error': 1.0039554204659709}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 1.0197619269802167, 'weighted_error': 1.0063716860312857}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 1.1728712180643732, 'weighted_error': 1.0073282979088019}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.9291779758347459, 'weighted_error': 1.0058056341867938}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 2.327277742765493, 'weighted_error': 1.014541219392259}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 1.0911452223803804, 'weighted_error': 1.0068176445743766}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 1.7751588501881723, 'weighted_error': 1.0110911857151117}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 2.565707039078892, 'weighted_error': 1.0160227093911365}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 1.8937155061215751, 'weighted_error': 1.0118322123162238}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.9890708196416513, 'weighted_error': 1.006246087154027}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 2.4225021049461364, 'weighted_error': 1.0152983662690545}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 1.255844979272831, 'weighted_error': 1.007930825214635}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 1.9614135689296233, 'weighted_error': 1.0123865572191337}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 1.602105214798706, 'weighted_error': 1.010117433413425}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 2.040262066668918, 'weighted_error': 1.0128844342092556}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 2.2087559738340117, 'weighted_error': 1.0139235629678185}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 1.0367876876092659, 'weighted_error': 1.0055794774285594}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.2294190910775134, 'weighted_error': 1.0083612626379836}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.07907217128798001, 'weighted_error': 1.002881764586807}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.22636759769126877, 'weighted_error': 1.00824992665846}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.0733020452654541, 'weighted_error': 1.0026715684070018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.20876655429139088, 'weighted_error': 1.0076079971217442}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.3329945463041841, 'weighted_error': 1.0121343967692316}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.23523272375107113, 'weighted_error': 1.0084350716732118}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.12578664197254552, 'weighted_error': 1.0043749972805132}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.1727272468430478, 'weighted_error': 1.0053485835822846}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.13612784919861856, 'weighted_error': 1.0042152884715954}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.3890727035407437, 'weighted_error': 1.0120478794391272}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.36151057304479584, 'weighted_error': 1.0111944160734292}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.2071512385085426, 'weighted_error': 1.0064145202400263}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.246205020593211, 'weighted_error': 1.0076227361270753}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.25242368273707033, 'weighted_error': 1.007807918367481}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.30347392442077875, 'weighted_error': 1.0093450207220656}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.8398035486610984, 'weighted_error': 1.012770759429795}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.15115287838915772, 'weighted_error': 1.0022985719906554}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.22352225855177546, 'weighted_error': 1.0033991297178426}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08434285793278547, 'weighted_error': 1.001282555228677}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.062230814057587944, 'weighted_error': 1.0009463515638013}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.018001210866348216, 'weighted_error': 1.0002737908656556}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.051933294140953, 'weighted_error': 1.0251790645841006}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4479682867956246, 'weighted_error': 1.002783672715417}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4728139735334759, 'weighted_error': 1.0029380972794024}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2818587165874458, 'weighted_error': 1.0017514959290401}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07007091646910188, 'weighted_error': 1.000435435728367}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06570410419108191, 'weighted_error': 1.0004082688340439}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.27075073952034, 'weighted_error': 1.021601337434838}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.6114642056847073, 'weighted_error': 1.0107295916591217}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5341783661368497, 'weighted_error': 1.0015870461755834}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.39116646412107287, 'weighted_error': 1.0011621465232847}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.25319730308169, 'weighted_error': 1.0007522385621301}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.10985364526939548, 'weighted_error': 1.0003263643447935}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 18.502817161479587, 'weighted_error': 1.0346543485522735}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.2654271879889274, 'weighted_error': 1.0042429714576342}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.5244999009170068, 'weighted_error': 1.002855252240947}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.3394870384254425, 'weighted_error': 1.0025087464948352}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3284157156871478, 'weighted_error': 1.000615103156227}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4014105239121294, 'weighted_error': 1.0007518125513488}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.31245676618320295, 'weighted_error': 1.0182583302818244}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.09085616749608959, 'weighted_error': 1.0053090929197446}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.061207446548010414, 'weighted_error': 1.00357669751787}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01013241468623425, 'weighted_error': 1.0005920927655736}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007167383126768373, 'weighted_error': 1.0004188390498674}
