{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0002531220363233929, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0067921013083632}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.12052597273756295, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.138248725697475}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1474867246451148, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.1691739872097178}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03781586817525901, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.043376524422493}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03529399563821374, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0404838541369907}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.009626335350967363, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0110418637333487}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00390161184013445, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0044753245067712}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03250200093623577, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.1020214108553383}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02435159375709881, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0764377504197364}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023819004851403074, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0747660227541846}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005119029343966763, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0160682626826503}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0058330267960565035, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0183094212056951}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0003546772904183563, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0011133166659831}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.5283684915912057, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.4583124720107867}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.10759844487490917, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0933319381615063}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.07210711363375336, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.062546443895689}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011562713718939787, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0100296219829272}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.006571706759382876, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0057003634973636}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002284991805329741, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0019820214116373}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02474573045434076, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.2008154351388827}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.012957299780316128, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.1051505823424723}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002900494654195918, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0235378728477282}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0018204076035374188, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0147728546187211}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002002836898849639, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0162533328553403}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.001130369861243589, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0091731004187972}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.08030885238042605, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.1864753153223886}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028697651574786195, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.066635298409937}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0062636916266196885, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.014544145324611}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.01913839440690716, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.044438962107395}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005109652899209823, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.011864513903745}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0019097114988718283, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0044343017341768}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028516494051063376, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.2288415885455772}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.009350995996836869, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.075040879674316}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.012179602995256769, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0977400413331122}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0024839449190145776, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.019933413358709}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.000668141957236912, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0053617585033459}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0016689769362695425, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0133932897106555}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.07601856842385153, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.1086550284700623}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06615260575153535, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.094553386533681}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03423588746107169, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0489341429474532}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007907104078162072, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0113017836435196}
