{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03203540124693567, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0050442635212171}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3406672601770236, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.68763865002503}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05731300721068536, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.1156866179491167}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0574791798030662, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.1160213611326344}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007668201439890945, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.015478287846824}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006570499010428641, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0132626859179548}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0018086715654735627, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0036507632235814}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.35798833602150365, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.2392234830817135}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.28602822346474704, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.1911366991677246}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08686425547706235, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0580465185518333}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03762055178675651, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0251397320375386}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013202744332089456, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0088227114276511}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006359729240778353, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0042498132800495}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02680907202455443, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0969099604263486}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0073426399096264364, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0265423540791876}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.014002229032891644, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0506157705358552}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0024929294728475134, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0090115026034505}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004693255140315602, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0169653816034996}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001408843727685717, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0050927115578066}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02093824570883747, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0880978621336315}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.033628050394956546, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.1414900778098824}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007807129173289174, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0328484446926103}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006442233499050621, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0271057311963017}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0010593915668990438, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.004457390278595}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001294863765408013, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.005448128790997}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01240177996108976, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.18267775493359}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0046117233432444995, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0679306823237293}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002617144438348529, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0385503024230403}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0019479493679153098, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.028693339264887}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0012685935218441132, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0186858004232342}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00016603100282743536, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0024455700247916}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04660875384824596, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.2704707520863145}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.017730799695087732, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.102891662749159}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008994362681773777, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.052193953059625}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0042398370898356925, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0246041986479932}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001014323555700222, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0058862572907987}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002383503115891267, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.013831171175822}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.046061027329569196, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.1407375542561433}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.025722178379840786, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0785932059768029}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.017710140933198688, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0541129109652163}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004581953374448489, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0139998896095264}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0053027720892548464, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0162024989449765}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0024802617765541913, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0075781949610436}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3227142692859552, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.1757728750295124}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08366791411099964, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0455715152594862}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08062379003254988, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0439133613298148}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04953773632359219, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0269817314278684}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.021391696386978166, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0116514208528153}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009930264575417895, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0054087061984485}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.027731998199446526, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0842422822033906}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.021442466751057782, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0651363122686093}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0043786497809213685, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0133011670368721}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005361151146479511, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0162856823945596}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0035295986173752955, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0107219985807148}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0007509468897740871, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0022812334771778}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.15327339530306683, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.3279610951037129}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04642657806286515, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0993396095528802}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03662630081551527, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0783697175760616}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009026037275672902, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.019313036505559}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004644099178532399, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.009937087618596}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0022474057204316888, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0048087696244843}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04627527207058203, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.3411065081393096}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008538811702258668, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0629408271025977}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004184093992514716, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0308420425165437}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0029107079344528625, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0214552581637228}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011445856991633447, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0084366570990533}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0009050848502319616, 'shap_norm_sq': 544.1731411418593, 'weighted_error': 1.0066712852379611}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07971454847479924, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.2172445430525485}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05026936029015947, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.136998513308607}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.010437684124507438, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0284457039002377}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0031251222398073703, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0085168149853263}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0032210168336897086, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0087782668807581}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0019191906010072807, 'shap_norm_sq': 7331.448472925538, 'weighted_error': 1.0052302898644605}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.011681490732332808, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.2070791641703902}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0030162616171453896, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0534698233782283}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0014729048925903414, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0261104922701896}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0014299885180790396, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0253500659067396}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001245541317193374, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0220800698379557}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0002527360491644038, 'shap_norm_sq': 1595.9858766196107, 'weighted_error': 1.0044803493846794}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0804670322786721, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.1600660829192766}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06855543720365136, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.1363710522095087}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013895625447213357, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.0276412529945615}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007882836977008797, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.0156806294875684}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007037526978964724, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.0139990836647468}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0013868193855456846, 'shap_norm_sq': 3861.3065799075875, 'weighted_error': 1.0027586278779888}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.023036099591289293, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.2145470981685438}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01747516800313037, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.1627548456077703}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.010473207702212014, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.0975425151435485}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002070189011888539, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.0192808444607513}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0006708880751919979, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.0062482976339648}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011993576046466976, 'shap_norm_sq': 3068.7569838531335, 'weighted_error': 1.0111701873955956}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.13528526170931662, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.1410039205308438}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07677423928910963, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.0800193965351306}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.046032865433878335, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.0479786921674812}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01456963285954532, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.0151854140835557}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.014680086917060874, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.0153006158500182}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006099137851480036, 'shap_norm_sq': 3696.299538842517, 'weighted_error': 1.0063569404495478}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06365953084538979, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.2201018851993826}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02786884480125977, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.096356565134231}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003843241800864663, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.0132880030933014}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006895302985204768, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.0238402729606346}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0027262511516950943, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.0094259419489147}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0017779237107685261, 'shap_norm_sq': 1378.0400304678417, 'weighted_error': 1.0061472127824447}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008362709779347435, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.1086555614531677}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008856406595938275, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.1150702746666588}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0030239668810053705, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.039290173238193}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0010674313837752034, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.0138690651018107}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0008280889552926724, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.0107591172162462}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00035269016465741846, 'shap_norm_sq': 2398.051082028523, 'weighted_error': 1.0045824747638306}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009387724613654627, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0679619104718079}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009497543981423143, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0687571594160763}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004608587868844455, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0333639410839113}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0026114373691807982, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0189054870365786}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0008196833672041307, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0059340989156282}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0006660597168260205, 'shap_norm_sq': 3139.8093916884122, 'weighted_error': 1.0048219165660826}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013756034870762907, 'shap_norm_sq': 1751.1523796641536, 'weighted_error': 1.166335762700222}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013387654952929914, 'shap_norm_sq': 1751.1523796641536, 'weighted_error': 1.1618813663475198}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0024875449234301196, 'shap_norm_sq': 1751.1523796641536, 'weighted_error': 1.0300789571512814}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0021914794167837226, 'shap_norm_sq': 1751.1523796641536, 'weighted_error': 1.026499158344934}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.000413975918277818, 'shap_norm_sq': 1751.1523796641536, 'weighted_error': 1.005005575880233}
