{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.0268274594818867e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.0268274579553672e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.0268274586779691e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 40, 'difference': 7, 'noise': 0, 'n': 8, 'shap_error': 0.002131848524132295, 'weighted_error': 1.1498239182076255}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.0005504995950478998, 'weighted_error': 1.0386885525030827}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.00011391324137557436, 'weighted_error': 1.0080056493865086}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 2.375145599409205e-14, 'weighted_error': 0.9999999999987966}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 2.375145600850398e-14, 'weighted_error': 0.9999999999987964}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 2.3751456014181876e-14, 'weighted_error': 0.9999999999987966}
{'sample_size': 40, 'difference': 3, 'noise': 0, 'n': 8, 'shap_error': 0.0017201980773666149, 'weighted_error': 1.0360351174560436}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.002528761619777202, 'weighted_error': 1.0529729594278423}
{'sample_size': 160, 'difference': 14, 'noise': 0, 'n': 8, 'shap_error': 0.00032083638513049023, 'weighted_error': 1.006720948533619}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.503817896987182e-14, 'weighted_error': 0.9999999999994281}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.5038178935602226e-14, 'weighted_error': 0.9999999999994283}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.5038179002566104e-14, 'weighted_error': 0.9999999999994283}
{'sample_size': 80, 'difference': -13, 'noise': 0.0005, 'n': 8, 'shap_error': 0.04065358060120844, 'weighted_error': 1.0471304199432743}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.04203993491809763, 'weighted_error': 1.0487376174882472}
{'sample_size': 80, 'difference': 6, 'noise': 0.005, 'n': 8, 'shap_error': 0.01706005077650715, 'weighted_error': 1.0197780395370473}
{'sample_size': 80, 'difference': -8, 'noise': 0.01, 'n': 8, 'shap_error': 0.05139226799625614, 'weighted_error': 1.0595490570152721}
{'sample_size': 80, 'difference': -10, 'noise': 0.05, 'n': 8, 'shap_error': 0.05158435315010962, 'weighted_error': 1.0597278395839587}
{'sample_size': 80, 'difference': 5, 'noise': 0.1, 'n': 8, 'shap_error': 0.06643180711416849, 'weighted_error': 1.075821531502462}
{'sample_size': 80, 'difference': -13, 'noise': 0.5, 'n': 8, 'shap_error': 0.052474258765756523, 'weighted_error': 1.0582280796880585}
{'sample_size': 80, 'difference': -1, 'noise': 1, 'n': 8, 'shap_error': 0.1450942315780201, 'weighted_error': 1.1467429498453103}
{'sample_size': 80, 'difference': -10, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0010034181331847782, 'weighted_error': 1.0392048689992304}
{'sample_size': 80, 'difference': -3, 'noise': 0.001, 'n': 8, 'shap_error': 0.001280580213724194, 'weighted_error': 1.0500338398963462}
{'sample_size': 80, 'difference': -5, 'noise': 0.005, 'n': 8, 'shap_error': 0.0007829548150961482, 'weighted_error': 1.030590794166579}
{'sample_size': 80, 'difference': -4, 'noise': 0.01, 'n': 8, 'shap_error': 0.001606808603592779, 'weighted_error': 1.062349975686002}
{'sample_size': 80, 'difference': -3, 'noise': 0.05, 'n': 8, 'shap_error': 0.0008398892872690735, 'weighted_error': 1.0327776438290925}
{'sample_size': 80, 'difference': -5, 'noise': 0.1, 'n': 8, 'shap_error': 0.0023992717247535234, 'weighted_error': 1.0936993219774112}
{'sample_size': 80, 'difference': -9, 'noise': 0.5, 'n': 8, 'shap_error': 0.039298199036828865, 'weighted_error': 2.5337440313186588}
{'sample_size': 80, 'difference': 8, 'noise': 1, 'n': 8, 'shap_error': 0.0592730781447888, 'weighted_error': 2.902981261918373}
{'sample_size': 80, 'difference': 6, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00028945413832653943, 'weighted_error': 1.0245701559681974}
{'sample_size': 80, 'difference': -5, 'noise': 0.001, 'n': 8, 'shap_error': 0.0007671555260635578, 'weighted_error': 1.0651171405688984}
{'sample_size': 80, 'difference': -3, 'noise': 0.005, 'n': 8, 'shap_error': 0.0007988258158425366, 'weighted_error': 1.067762762791821}
{'sample_size': 80, 'difference': -5, 'noise': 0.01, 'n': 8, 'shap_error': 0.0008781752139387033, 'weighted_error': 1.0741534287289536}
{'sample_size': 80, 'difference': -2, 'noise': 0.05, 'n': 8, 'shap_error': 0.0006472697856506893, 'weighted_error': 1.0535368383312285}
{'sample_size': 80, 'difference': -16, 'noise': 0.1, 'n': 8, 'shap_error': 0.0017126578185039424, 'weighted_error': 1.1451415870641473}
{'sample_size': 80, 'difference': -8, 'noise': 0.5, 'n': 8, 'shap_error': 0.044465448626678714, 'weighted_error': 3.6040404165492066}
{'sample_size': 80, 'difference': 3, 'noise': 1, 'n': 8, 'shap_error': 0.17666917379998812, 'weighted_error': 6.498946621563512}
{'sample_size': 80, 'difference': 1, 'noise': 0.0005, 'n': 8, 'shap_error': 0.009559450389400351, 'weighted_error': 1.0480640136245274}
{'sample_size': 80, 'difference': 7, 'noise': 0.001, 'n': 8, 'shap_error': 0.0059970099661975605, 'weighted_error': 1.0301523055156845}
{'sample_size': 80, 'difference': 5, 'noise': 0.005, 'n': 8, 'shap_error': 0.01016045378850436, 'weighted_error': 1.0510841976569303}
{'sample_size': 80, 'difference': 2, 'noise': 0.01, 'n': 8, 'shap_error': 0.007348774186365123, 'weighted_error': 1.036903190764661}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.014595719133359442, 'weighted_error': 1.0730312871676002}
{'sample_size': 80, 'difference': -2, 'noise': 0.1, 'n': 8, 'shap_error': 0.0062589812622984384, 'weighted_error': 1.0312249344041688}
