{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007785684517889133, 'weighted_error': 1.00008927563531}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0026149824901136602, 'weighted_error': 1.0000299841898304}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.083335750238329, 'weighted_error': 1.0554957323324432}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3101163298266201, 'weighted_error': 1.0055817212931228}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3548177742739731, 'weighted_error': 1.0063861694069014}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1567049119545468, 'weighted_error': 1.0028204465999337}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07461781669382561, 'weighted_error': 1.001343043439329}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02687446599637055, 'weighted_error': 1.0004837090395358}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.9133371207022207, 'weighted_error': 1.0421439943736326}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.3255708198569347, 'weighted_error': 1.0291976842290553}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5677564157913187, 'weighted_error': 1.0125055451658531}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0621433140583913, 'weighted_error': 1.0013687886515574}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08023805431642692, 'weighted_error': 1.0017673879402467}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.032020311317737415, 'weighted_error': 1.0007053086366429}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.018589481359068127, 'weighted_error': 1.0019254480570912}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0023070486380314713, 'weighted_error': 1.0002389420485212}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005337451647422095, 'weighted_error': 1.0005528802416987}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002515480898723492, 'weighted_error': 1.000260529432071}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0014822653933686707, 'weighted_error': 1.0001534732893642}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0005474419989754703, 'weighted_error': 1.0000567213885612}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 6.929090400282422, 'weighted_error': 1.0592103735184109}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.909039739117004, 'weighted_error': 1.041948709425536}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.39540699152960584, 'weighted_error': 1.003378887568276}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.8497931025967521, 'weighted_error': 1.0072615992850689}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.17788445000715972, 'weighted_error': 1.00152019122084}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.21567183799402495, 'weighted_error': 1.0018429975328091}
