{'sample_size': 500, 'noise': 0, 'shap_error': 0.2990685635675615, 'weighted_error': 1.0108997321368685, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.14557713244668088, 'weighted_error': 1.005305560609218, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.09607917191993376, 'weighted_error': 1.0035015670797092, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.05584210538642635, 'weighted_error': 1.0020351503688476, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.016043204398698347, 'weighted_error': 1.0005847046413623, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.038737545810956675, 'weighted_error': 1.001411794638553, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.9864697103993867, 'weighted_error': 1.0305468021092394, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.5041257174354048, 'weighted_error': 1.0156105799614368, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.19679616609529826, 'weighted_error': 1.0060938816484903, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.06921329732246835, 'weighted_error': 1.002143252793494, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.033478676668302294, 'weighted_error': 1.0010366905129544, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.021235012469327522, 'weighted_error': 1.0006575635298751, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.5544397644281865, 'weighted_error': 1.0084310249499207, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.5183143278180866, 'weighted_error': 1.0078820110079034, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.664774700760564, 'weighted_error': 1.0101087706900884, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.5751382792775539, 'weighted_error': 1.008745956246742, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.706240630517853, 'weighted_error': 1.010739554538763, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.949223053153813, 'weighted_error': 1.0296412250565752, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.6408507492086201, 'weighted_error': 1.0097444519050993, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.8211203122440424, 'weighted_error': 1.0124612142957723, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.33959696140520046, 'weighted_error': 1.0050620454858588, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.19744418840617867, 'weighted_error': 1.0037947355728465, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.3188253666432443, 'weighted_error': 1.0253473043783765, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.3588950579913011, 'weighted_error': 1.006897825814141, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.21178485961923102, 'weighted_error': 1.0040704740727986, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.7770884789918513, 'weighted_error': 1.0149353484141415, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.10618537262970691, 'weighted_error': 1.002039180259397, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.5829567947945963, 'weighted_error': 1.011197542604299, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.6583046715438072, 'weighted_error': 1.0124868432580654, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.575937337273416, 'weighted_error': 1.010407551499848, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.4802256172180474, 'weighted_error': 1.0052258721816487, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 2.1757860919507515, 'weighted_error': 1.0236768725615861, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.48783897424451556, 'weighted_error': 1.0053087124020805, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.2080031617329394, 'weighted_error': 1.013145529287283, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.8444461485446265, 'weighted_error': 1.0091893293003735, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.9403522930348198, 'weighted_error': 1.0211148969810442, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.5366984466085939, 'weighted_error': 1.0058402251272345, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 1.301743593270741, 'weighted_error': 1.0141619845004306, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.9174880968867244, 'weighted_error': 1.0099699692463404, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.2680055183688668, 'weighted_error': 1.0216498537627172, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.9288771453941788, 'weighted_error': 1.0158597590072032, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.5078289887940743, 'weighted_error': 1.008670679679589, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.6756719316929578, 'weighted_error': 1.0115363349236484, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.190122821980241, 'weighted_error': 1.0032460319655456, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.8746137180997866, 'weighted_error': 1.0149297099305128, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.5750490422016129, 'weighted_error': 1.0098043695962788, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.8308247568791757, 'weighted_error': 1.0138335046415925, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.794522773663886, 'weighted_error': 1.0121579144602049, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.513679709516098, 'weighted_error': 1.0088416441718409, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 6.9401695067132305, 'weighted_error': 1.0174639066611497, 'gamma': 0.0}
