{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.558267259717597e-09, 'weighted_error': 1.0012240894392985, 'gamma': 2400.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.1736973175001544e-10, 'weighted_error': 1.0000589255428052, 'gamma': 2400.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.203983387940807e-09, 'weighted_error': 1.0011305645682942, 'gamma': 2400.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.363681013275401e-10, 'weighted_error': 1.0001699081864353, 'gamma': 2400.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.770427630973743e-10, 'weighted_error': 1.0000742152621829, 'gamma': 2400.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.721116314891081e-09, 'weighted_error': 1.001630718941339, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.2402059491553915e-08, 'weighted_error': 1.005427333418089, 'gamma': 770000.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4685765733227026e-09, 'weighted_error': 1.000354384704385, 'gamma': 770000.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.331799066144033e-09, 'weighted_error': 1.0008061983111605, 'gamma': 770000.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.5904269660452103e-09, 'weighted_error': 1.0006263825876829, 'gamma': 770000.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3685312878277803e-10, 'weighted_error': 1.000057024991077, 'gamma': 770000.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.9018027784039263e-07, 'weighted_error': 1.004456309680769, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.647033172070704e-08, 'weighted_error': 1.002028250745701, 'gamma': 0.00024}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.448284556921113e-08, 'weighted_error': 1.0019807427163883, 'gamma': 0.00024}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.290834848685813e-08, 'weighted_error': 1.0003029465704658, 'gamma': 0.00024}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.7033634917441905e-09, 'weighted_error': 1.0001575805856444, 'gamma': 0.00024}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.051653296239316e-09, 'weighted_error': 1.000118265409888, 'gamma': 0.00024}
