{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.664502255438791e-13, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 0.9999999999980187}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.013329538758526861, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0329590469563261}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.006739174045338819, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.016663457503987}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.000440148246740946, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0010883401442028}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.002989202193344525, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0355243840444188}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.003945237731656443, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0468860299924774}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 5.634570213307293e-05, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0006696033963127}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 6.318590500232789e-14, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 0.9999999999994221}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 6.318590500232789e-14, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 0.9999999999994221}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 6.318590500232789e-14, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 0.9999999999994221}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0005707240080186415, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0293754987017136}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0010038201356667084, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.051667092249902}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00044212074123386574, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.022756496806751}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.071077215566927e-13, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 0.9999999999948725}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.071077215566927e-13, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 0.9999999999948725}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.071077215566927e-13, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 0.9999999999948725}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.003622033621454857, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0203120715368827}
