{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 1.9765440233321827e-14, 'weighted_error': 0.9999999946943745, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 1.976544023384526e-14, 'weighted_error': 0.9999999946943745, 'gamma': 2400.0}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 1.9765440233603775e-14, 'weighted_error': 0.9999999946943744, 'gamma': 2400.0}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 1.9765440233700918e-14, 'weighted_error': 0.9999999946943743, 'gamma': 2400.0}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 1.9765440234378947e-14, 'weighted_error': 0.9999999946943745, 'gamma': 2400.0}
{'sample_size': 16000, 'difference': -15984, 'noise': 0, 'n': 4, 'shap_error': 1.9765440233399236e-14, 'weighted_error': 0.9999999946943744, 'gamma': 2400.0}
{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 1.2336039755007202e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 1.2336039755007202e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 1.2336039755058657e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 1.2336039755007262e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 1.2336039754983003e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 16000, 'difference': -15984, 'noise': 0, 'n': 4, 'shap_error': 1.2336039755009362e-14, 'weighted_error': 0.9999999977163219, 'gamma': 770000.0}
{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 4.0619550002055153e-14, 'weighted_error': 0.9999999994294893, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 4.0619550002055153e-14, 'weighted_error': 0.9999999994294893, 'gamma': 0.00024}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 4.061954997792626e-14, 'weighted_error': 0.9999999994294905, 'gamma': 0.00024}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 4.0619549976834576e-14, 'weighted_error': 0.9999999994294893, 'gamma': 0.00024}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 4.0619549976834576e-14, 'weighted_error': 0.9999999994294893, 'gamma': 0.00024}
{'sample_size': 16000, 'difference': -15984, 'noise': 0, 'n': 4, 'shap_error': 4.0619549993209814e-14, 'weighted_error': 0.9999999994294904, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 4.6350961133991183e-14, 'weighted_error': 0.9999999999610643, 'gamma': 250.0}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 4.635096113321018e-14, 'weighted_error': 0.9999999999610644, 'gamma': 250.0}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 4.635096113417924e-14, 'weighted_error': 0.9999999999610643, 'gamma': 250.0}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 4.635096113205135e-14, 'weighted_error': 0.9999999999610644, 'gamma': 250.0}
{'sample_size': 16000, 'difference': -15984, 'noise': 0, 'n': 4, 'shap_error': 4.6350961133991183e-14, 'weighted_error': 0.9999999999610643, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 3.496397726714926e-08, 'weighted_error': 1.0000947981204904, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 7.866861449649216e-08, 'weighted_error': 1.0002105464873414, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 1.6189350582441371e-06, 'weighted_error': 1.0043017514499732, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 8.612104822717336e-06, 'weighted_error': 1.0230963205626307, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.00019374988962197196, 'weighted_error': 1.5179762851620453, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.0005843390719121262, 'weighted_error': 2.5464522382948465, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.060149860996502734, 'weighted_error': 165.1667133714333, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.07784648072290191, 'weighted_error': 209.14423675113258, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 1.6011711559012875e-07, 'weighted_error': 1.0002024007549237, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 6.106417317800921e-07, 'weighted_error': 1.0007234094450794, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 2.2471712507764217e-05, 'weighted_error': 1.0389055386010122, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 5.863053267385069e-05, 'weighted_error': 1.0653243737978975, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0020464288576742653, 'weighted_error': 4.310683086311349, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.006066271799632703, 'weighted_error': 8.120132225137176, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.2220787157637394, 'weighted_error': 382.4377036583044, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.606626605457699, 'weighted_error': 713.0133638382414, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 2.0462298439891854e-08, 'weighted_error': 3.7388292346670196, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 7.104308595906784e-08, 'weighted_error': 9.976644697574638, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 7.381528476386286e-06, 'weighted_error': 1253.4767606316875, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 2.9471429759142098e-05, 'weighted_error': 5000.863092719417, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.00037165253781377527, 'weighted_error': 58032.66175914827, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.0014461896502396493, 'weighted_error': 224714.0572785116, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.07367811844073882, 'weighted_error': 12499658.732066741, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.2938704862293481, 'weighted_error': 49844201.74315799, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 1.837390096034353e-07, 'weighted_error': 1.0003137392010255, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 4.751446022862059e-07, 'weighted_error': 1.0005406691444745, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 1.5564203305258068e-05, 'weighted_error': 1.0236532175745474, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 7.348445524881791e-05, 'weighted_error': 1.1254939759206835, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0012815515514358541, 'weighted_error': 2.6095955810136457, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.005270140743074476, 'weighted_error': 7.834192304887554, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.14934878629133874, 'weighted_error': 220.24145159646642, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.36454602293156124, 'weighted_error': 237.64196949864896, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 1.2020706788147833e-07, 'weighted_error': 1.0000002220105377, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 3.987792109283413e-07, 'weighted_error': 1.0000000423288335, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 1.208378996911609e-05, 'weighted_error': 1.000022749555513, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 4.1023986636350185e-05, 'weighted_error': 1.000015820057314, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0011703059357894077, 'weighted_error': 1.0018825843774957, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.004908569873480646, 'weighted_error': 1.0098670811210422, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.11385088823505882, 'weighted_error': 1.1555664770310548, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.44645991495795034, 'weighted_error': 1.5303312042337167, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 4.520562915770545e-08, 'weighted_error': 1.0000006231962073, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 3.2103659547888247e-07, 'weighted_error': 1.0000044831885173, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 3.1212746105617367e-06, 'weighted_error': 1.0000425421469508, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 1.6161432014087986e-05, 'weighted_error': 1.0002223082248898, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0012119766889981882, 'weighted_error': 1.0170184497557613, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.000765461320507994, 'weighted_error': 1.0101640104218506, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.09121649302105772, 'weighted_error': 2.276552981702207, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.3539681706581461, 'weighted_error': 5.951625939830958, 'gamma': 1.1}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 9.001694801460004e-08, 'weighted_error': 1.0153691724740697, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 3.6013830581195714e-07, 'weighted_error': 1.061476705813156, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 9.01114099035887e-06, 'weighted_error': 2.5393946883568423, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 3.7932654990165745e-05, 'weighted_error': 7.666713114012554, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.000953326555619486, 'weighted_error': 169.02651591369226, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.0037649738108151945, 'weighted_error': 660.0803667419522, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.0784568680590623, 'weighted_error': 12255.979100431328, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.3116160739382887, 'weighted_error': 48425.049333601026, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 9.212683569958301e-08, 'weighted_error': 1.0185724833550167, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 5.008499024800916e-07, 'weighted_error': 1.1063299917733902, 'gamma': 770000.0}
