{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.053466589996676e-05, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 1.0001302129061695}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000997237214178112, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.002465771806184}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013120960936290815, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0032443750322024}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00015067782069118994, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0003725735986773}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000158993189507589, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0003931297156148}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00015861987053899935, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0003922182013694}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.4817213701566919e-05, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0000366381183088}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010331307378167607, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0012277473529854}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.3417805667265176e-05, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0001594655541657}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.4302976996091856e-06, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0000764165775542}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.0628495238117044e-06, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0000364041867795}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.388797245254288e-06, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0000402705050844}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1985999462913294e-06, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0000142414353645}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013891697917996365, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0715016082385576}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009725713835239768, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0500592146329484}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002230165576384951, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0114789156293784}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00020310483425316802, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0104539315859602}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.200030169210915e-05, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.003705904054841}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.595158431332121e-06, 'shap_norm_sq': 7.136045619510271, 'weighted_error': 1.0003394653403381}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00250795494908345, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0140643462397567}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009986707845602966, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.005600473261439}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.676063290340112e-05, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0005426066773682}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.036081904151267e-05, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0004506375061033}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.874280060042328e-06, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0000497614657526}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.449889727215698e-05, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.000473871232906}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0008321598741300439, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0052743182956154}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00025370356917389875, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.001607952466796}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8205063289804644e-05, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0001153758198382}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.2706794213491535e-05, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0001439047268015}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.299527038818425e-05, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0002725161770658}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.035050456424983e-05, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0001289944173222}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013664622688858124, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0494712261511436}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00036396961656810865, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0131770816674535}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002427441847991887, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0087881269186447}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.515680649972062e-05, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0012727790501161}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1895816564869011e-05, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0004306360118944}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0752680759829821e-05, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.000389254060475}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012138938328884632, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0048174727198167}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.075771884354185e-05, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0003204872957094}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.4166446266755385e-05, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0001752892518843}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.0825126222591998e-05, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0000826457644256}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.345640724103236e-06, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.000025188491115}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.3935665723326215e-06, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.000029336208301}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.373870028961725e-05, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.000715975186391}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.001995971327175e-05, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0014858744162691}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1414642568490046e-05, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0002422259508752}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1327747037395456e-05, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0002404006443475}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1773138169830546e-06, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0000462049959016}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2453304167465862e-06, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0000264344245782}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00016366100803466178, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.0027801959276181}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.448514220362112e-06, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.000075575486091}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7624694360643157e-05, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.0002994089115733}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.081108502503757e-06, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.0001542696213175}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.393469574827964e-06, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.000057642344881}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4872765994787877e-06, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.000042251123568}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00376070218479809, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.009748571457561}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005378054388601593, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.0013941127498582}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0003118464772652177, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.0008083778640937}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.160415957779516e-05, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.000081925321874}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.490786787188473e-05, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.0000904919808595}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.9563459137513875e-05, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.0000766360777922}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009268667199751794, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.002781081226253}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00028776927853187714, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.0008634732049708}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.933358591495574e-05, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.000178030591099}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.7297071862580725e-05, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.0000819038569768}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.5305361981154374e-05, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.00004592603727}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.827758500805462e-06, 'shap_norm_sq': 3.0485538651457627, 'weighted_error': 1.000023491306548}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012782326632530634, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.0053533711862217}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000474717518258839, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.0019881837405624}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002016876736554491, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.00084469669049}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.732904993364727e-05, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.0002819911547898}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00016690799858801877, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.0006990320535574}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7106074574687353e-05, 'shap_norm_sq': 8.581315158348554, 'weighted_error': 1.0000716416536608}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.001503840640818278, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.0027580425176115}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0003481416193302782, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.0006385207805149}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00019643548742453, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.000360261383818}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00021315654769329313, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.0003909405761515}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.211640394930807e-05, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.000058902772749}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1385733903589647e-05, 'shap_norm_sq': 2.3697814585951384, 'weighted_error': 1.0000392211312614}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0008413636039964961, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.0015702129126074}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00035127684287880053, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.0006555726379882}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0008310847554610099, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.001551039518589}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002940321620733639, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.000548745345258}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002774016854659495, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.0005177123343296}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1068453236626678e-05, 'shap_norm_sq': 5.0360179064252995, 'weighted_error': 1.0000206567951342}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.003532053964546826, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0074313800562937}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00127075345168141, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0026736549061888}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005068345382765227, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0010663719643342}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00019577290247204556, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0004119027153078}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.0097324189183372e-05, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0000633239566612}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.213005292290141e-05, 'shap_norm_sq': 4.909011418571472, 'weighted_error': 1.0000465620422092}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.048134549273713e-05, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.0002539664720655}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2803303377666854e-05, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.0000461387307689}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.769131662057191e-06, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.0000315979045962}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.818900753656461e-06, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.0000173639603738}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.635812434252542e-06, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.00001309927728}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.137262894450746e-07, 'shap_norm_sq': 0.9322824715915776, 'weighted_error': 1.0000029331298463}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0030033992823936197, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.0211976220933314}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006771361842515823, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.004779187306902}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005426694217505105, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.0038301295434797}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00041226692314476576, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.0029097068073203}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00013108216013628325, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.0009251366673306}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.9817643643050624e-05, 'shap_norm_sq': 1.9567787124941214, 'weighted_error': 1.0001398710184692}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.175526502801563e-05, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.0010899819635037}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.622168791552343e-05, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.000702120088883}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.0979494743571924e-05, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.0007743898208812}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.646020646878223e-05, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.0002500408590722}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2642978661749134e-05, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.0001920584306494}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.051191882059958e-06, 'shap_norm_sq': 2.1129838425793, 'weighted_error': 1.0000311569956288}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.505100064563304e-05, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.0008377360766956}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.670661644424216e-06, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.0000558663515424}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.009906588199348e-06, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.0002009900309954}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.2814468025767617e-07, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.0000109727011544}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.115837402319781e-07, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.0000237943068546}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.4062869034869815e-07, 'shap_norm_sq': 3.0403296409420855, 'weighted_error': 1.000004704485099}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0028890163181960085, 'shap_norm_sq': 6.207851072720888, 'weighted_error': 1.0070653049781924}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006500224145952123, 'shap_norm_sq': 6.207851072720888, 'weighted_error': 1.0015896823723858}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005994335207561004, 'shap_norm_sq': 6.207851072720888, 'weighted_error': 1.0014659575003517}
