{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006422248952776523), 'weighted_error': np.float64(1.2452393765789538)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006165368598441327), 'weighted_error': np.float64(1.2363582057723013)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00021141664940633185), 'weighted_error': np.float64(1.6615170927614231)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.154611847033406e-05), 'weighted_error': np.float64(1.2114187976814734)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.325966901623107e-05), 'weighted_error': np.float64(1.2590742235647912)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.375287912203489e-05), 'weighted_error': np.float64(1.2892787611545231)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.777602688662774e-05), 'weighted_error': np.float64(1.2397274336086046)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.59105955775258e-05), 'weighted_error': np.float64(1.2632171531065912)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013409191891216397), 'weighted_error': np.float64(2.246758513704712)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007794237810746207), 'weighted_error': np.float64(1.787930178378618)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0005936876699976706), 'weighted_error': np.float64(1.5801830669898373)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007591818121058979), 'weighted_error': np.float64(1.7576506177029505)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0005361506010550369), 'weighted_error': np.float64(1.5185409343103533)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0005522557944953432), 'weighted_error': np.float64(1.5362629175712936)}
