{'sample_size': 8000, 'noise': 0, 'shap_error': 4.1821612629152595e-07, 'weighted_error': 1.0007768943049467, 'gamma': 2.3}
{'sample_size': 16000, 'noise': 0, 'shap_error': 7.591559659956758e-07, 'weighted_error': 1.0014102491825323, 'gamma': 2.3}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.1680486697946737e-06, 'weighted_error': 1.0199116128408703, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.790277489114398e-07, 'weighted_error': 1.0064612195391034, 'gamma': 42.7}
{'sample_size': 2000, 'noise': 0, 'shap_error': 6.48127942759272e-07, 'weighted_error': 1.0110486207628342, 'gamma': 42.7}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.1435487049235321e-07, 'weighted_error': 1.0019493801151425, 'gamma': 42.7}
{'sample_size': 8000, 'noise': 0, 'shap_error': 8.469733131214997e-08, 'weighted_error': 1.0014438417109581, 'gamma': 42.7}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.513632624785023e-08, 'weighted_error': 1.0002580346246768, 'gamma': 42.7}
{'sample_size': 500, 'noise': 0, 'shap_error': 6.129979975422525e-06, 'weighted_error': 1.034142944324269, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 7.250353453608526e-07, 'weighted_error': 1.0040383286246068, 'gamma': 1140.3}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.7431851956092431e-06, 'weighted_error': 1.0097092314023879, 'gamma': 1140.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.4318786314613616e-06, 'weighted_error': 1.007975317892082, 'gamma': 1140.3}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.9659398316220237e-07, 'weighted_error': 1.0010949973824546, 'gamma': 1140.3}
{'sample_size': 16000, 'noise': 0, 'shap_error': 8.504399568776645e-08, 'weighted_error': 1.0004736788277997, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 4.046331380444137e-06, 'weighted_error': 1.0256830892537503, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.7983116763164977e-06, 'weighted_error': 1.011413823615104, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 7.322001481990422e-06, 'weighted_error': 1.0464723045094482, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 2.921550311697659e-06, 'weighted_error': 1.0184901373824835, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 2.193205858745552e-06, 'weighted_error': 1.013706006578749, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.2751252713679683e-05, 'weighted_error': 1.0755655669072766, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0001127212769830189, 'weighted_error': 1.6939902226660426, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0013211979042626202, 'weighted_error': 8.848993124124378, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.003759568670095074, 'weighted_error': 22.71501149459086, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0, 'shap_error': 7.329294541930648e-07, 'weighted_error': 1.0067518181432622, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 9.993382942638509e-07, 'weighted_error': 1.0092052030774388, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.6870519538457014e-06, 'weighted_error': 1.0155381314958163, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.0374964898647032e-06, 'weighted_error': 1.009478275440211, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.7609529580836796e-06, 'weighted_error': 1.0159051286135221, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.2435518850784384e-05, 'weighted_error': 1.1066336068948393, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 8.336300714412567e-05, 'weighted_error': 1.7362539666265897, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0004237365769348446, 'weighted_error': 4.111129815595279, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.007979878241824149, 'weighted_error': 71.34198577302811, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.6894059762171425e-06, 'weighted_error': 1.009976966913425, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 3.9664140823143135e-06, 'weighted_error': 1.0147084907140798, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 3.814682181586689e-06, 'weighted_error': 1.0141289143350807, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 3.526002242846381e-06, 'weighted_error': 1.0125205897127987, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 5.7574728574753215e-06, 'weighted_error': 1.0191192251193257, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 2.5327709717738487e-05, 'weighted_error': 1.0379743569469504, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.00013431074708173548, 'weighted_error': 1.2743170558876535, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0033685748076949565, 'weighted_error': 7.898011279259821, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.00919608706871233, 'weighted_error': 12.72117961622708, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.1698117588416391e-05, 'weighted_error': 1.0073211771675126, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.5590483596715178e-05, 'weighted_error': 1.0097553541216326, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 2.4184887404928587e-05, 'weighted_error': 1.015128843426333, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.8112707954438862e-05, 'weighted_error': 1.0111585042427291, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 2.2877826936922043e-05, 'weighted_error': 1.0136094025327331, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 5.95876157566886e-05, 'weighted_error': 1.019580163977754, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.00021257247168822243, 'weighted_error': 1.0621879121431776, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.004355659868842801, 'weighted_error': 1.9547305320213262, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.014806420050978342, 'weighted_error': 3.181582482063483, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0, 'shap_error': 5.805609670036066e-06, 'weighted_error': 1.017660260120198, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 5.28514096576904e-06, 'weighted_error': 1.0160500869561797, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 2.7242364916054986e-06, 'weighted_error': 1.0081791342455213, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 4.543033286043483e-06, 'weighted_error': 1.0111246081191794, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 6.790779352891231e-06, 'weighted_error': 1.009877123944111, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00010657428493735599, 'weighted_error': 1.0546923070420047, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.00042003413032502807, 'weighted_error': 1.1997174620378714, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.012019778295102588, 'weighted_error': 10.613400129110513, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.043769022613905355, 'weighted_error': 26.34259976236198, 'gamma': 193.4}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.568666343486227e-05, 'weighted_error': 1.0104563989145892, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 2.2884164881721682e-05, 'weighted_error': 1.0152539922045005, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 7.368747910123018e-06, 'weighted_error': 1.0049116355335068, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.0847358279274305e-05, 'weighted_error': 1.0072216120651702, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 2.0459665644582096e-05, 'weighted_error': 1.0136016791505642, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00011587662713172073, 'weighted_error': 1.076326484306976, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0003699050905147871, 'weighted_error': 1.2429136634121252, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.005876472780822981, 'weighted_error': 4.8256784227687906, 'gamma': 0.1}
