{'sample_size': 500, 'noise': 0, 'shap_error': 0.4046719111423086, 'weighted_error': 1.0147483434226383, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.23777544618446553, 'weighted_error': 1.0086657826744223, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.12132887148694593, 'weighted_error': 1.0044218760536365, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.14637859655743218, 'weighted_error': 1.0053349565193959, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.018375582644663855, 'weighted_error': 1.0006696980045304, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.026725768697354057, 'weighted_error': 1.0009740706207344, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.7981354113038496, 'weighted_error': 1.0247148203334444, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.1747523449454928, 'weighted_error': 1.0054113385343435, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.09652595078587703, 'weighted_error': 1.002989007827199, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.07059069743396316, 'weighted_error': 1.002185906385052, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.027802027527819913, 'weighted_error': 1.000860918078478, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.03208606706277913, 'weighted_error': 1.0009935738079707, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.4407737253329803, 'weighted_error': 1.0067027267391775, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.47583469410512, 'weighted_error': 1.0072358190927713, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.555700111021318, 'weighted_error': 1.0084503311092106, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.6062286136118864, 'weighted_error': 1.0092186881958367, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.8100836822914663, 'weighted_error': 1.0123191901781503, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.28944570120708335, 'weighted_error': 1.0044015785658638, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.36588650188820326, 'weighted_error': 1.0055642363552937, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.42268257086202077, 'weighted_error': 1.0064244007247474, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.39196184094032366, 'weighted_error': 1.0059476131894678, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.7285460191442688, 'weighted_error': 1.0140025443944605, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.11324164326652078, 'weighted_error': 1.002176500492773, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.46205684099757904, 'weighted_error': 1.0088804856035816, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.6036666294327409, 'weighted_error': 1.011602329946561, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.9870334101357029, 'weighted_error': 1.0189705519136978, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.38794747868535767, 'weighted_error': 1.0074562212952647, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.23457860674322856, 'weighted_error': 1.0045084728092792, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.5281775724618966, 'weighted_error': 1.0101511277860349, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.1889658790619395, 'weighted_error': 1.003631211099299, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.0845448300007148, 'weighted_error': 1.0118020794001346, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.5910708752621834, 'weighted_error': 1.0064320443183241, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.7323600824123904, 'weighted_error': 1.0079696314209508, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.865097693223408, 'weighted_error': 1.0094140601329444, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.3858809053791889, 'weighted_error': 1.0041991955325456, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.3595741678363276, 'weighted_error': 1.0147945662196873, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.9823269359427552, 'weighted_error': 1.0106882124834395, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.9717698344882567, 'weighted_error': 1.0105359986725235, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.48014107216630186, 'weighted_error': 1.005069246771826, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2700820643206038, 'weighted_error': 1.0046114383839142, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.4304114525479278, 'weighted_error': 1.0073488566325557, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.6448111049970991, 'weighted_error': 1.011009475903377, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.2759955391628349, 'weighted_error': 1.0047123688617232, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.9432685960101972, 'weighted_error': 1.0161053271340252, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.36602961514586996, 'weighted_error': 1.0062493989387513, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.5077978629329227, 'weighted_error': 1.0086694922338393, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.35915550419191655, 'weighted_error': 1.0061174841151135, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.5210426184242245, 'weighted_error': 1.0088372134265085, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 4.331598569747826, 'weighted_error': 1.0108999302749178, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 5.7166006121292705, 'weighted_error': 1.0143851263359107, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 2.4572567577919924, 'weighted_error': 1.0061833993557598, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 3.3082420265152317, 'weighted_error': 1.0083248055636769, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 3.373497454217147, 'weighted_error': 1.0084888680501347, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 5.191220642327059, 'weighted_error': 1.0130629944282195, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 3.520591041931083, 'weighted_error': 1.0088589984454772, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.9040461159706545, 'weighted_error': 1.0022737386414298, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 2.7828232990663726, 'weighted_error': 1.0069976961026939, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.7734914673641283, 'weighted_error': 1.0096215257883556, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.19937727841589908, 'weighted_error': 1.002480103363017, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.372160423674427, 'weighted_error': 1.0046293555482688, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.9018463872730191, 'weighted_error': 1.0112181533939912, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.9636918557776161, 'weighted_error': 1.011987422271083, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.7983908209752791, 'weighted_error': 1.0099308714556188, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.3593486326835801, 'weighted_error': 1.0044686039558202, 'gamma': 0.0}
