{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003025210734216683, 'weighted_error': 1.0000189024634238, 'gamma': 0.0093}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011053031369970133, 'weighted_error': 1.0000069049336504, 'gamma': 0.0093}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0009675926401076614, 'weighted_error': 1.0000060463327851, 'gamma': 0.0093}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00039315607303116285, 'weighted_error': 1.000002456360176, 'gamma': 0.0093}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2812468713096962, 'weighted_error': 1.0017760926354395, 'gamma': 8.6e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2985921684970586, 'weighted_error': 1.0018856527170654, 'gamma': 8.6e-05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.022856204333005087, 'weighted_error': 1.0001443396963894, 'gamma': 8.6e-05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07201131617021003, 'weighted_error': 1.0004547493126474, 'gamma': 8.6e-05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03731855918035996, 'weighted_error': 1.0002356683721174, 'gamma': 8.6e-05}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.015606990563456621, 'weighted_error': 1.0000985606166057, 'gamma': 8.6e-05}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08760091479295297, 'weighted_error': 1.0031926004691931, 'gamma': 8.9e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06618377950035363, 'weighted_error': 1.0024121062576514, 'gamma': 8.9e-05}
