{'sample_size': 1000, 'difference': -84, 'noise': 0, 'n': 79, 'shap_error': 0.00947861066384421}
{'sample_size': 1000, 'difference': -78, 'noise': 0.0005, 'n': 79, 'shap_error': 0.00783968204709337}
{'sample_size': 1000, 'difference': -118, 'noise': 0.001, 'n': 79, 'shap_error': 0.006721528113155978}
{'sample_size': 1000, 'difference': -174, 'noise': 0.005, 'n': 79, 'shap_error': 0.009120233163881133}
{'sample_size': 1000, 'difference': -98, 'noise': 0.01, 'n': 79, 'shap_error': 0.0062092994445147485}
{'sample_size': 1000, 'difference': -116, 'noise': 0.05, 'n': 79, 'shap_error': 0.00698005330186044}
{'sample_size': 1000, 'difference': -126, 'noise': 0.1, 'n': 79, 'shap_error': 0.009442805782212071}
{'sample_size': 1000, 'difference': -136, 'noise': 0.5, 'n': 79, 'shap_error': 0.014083242113224094}
{'sample_size': 1000, 'difference': -94, 'noise': 1, 'n': 79, 'shap_error': 0.025014035055342367}
{'sample_size': 1000, 'difference': -148, 'noise': 0, 'n': 79, 'shap_error': 0.00046116867531328817}
{'sample_size': 1000, 'difference': -70, 'noise': 0.0005, 'n': 79, 'shap_error': 0.00042401066255477255}
{'sample_size': 1000, 'difference': -104, 'noise': 0.001, 'n': 79, 'shap_error': 0.00042114794868890686}
{'sample_size': 1000, 'difference': -122, 'noise': 0.005, 'n': 79, 'shap_error': 0.0003923123766296181}
{'sample_size': 1000, 'difference': -72, 'noise': 0.01, 'n': 79, 'shap_error': 0.0004641084189450367}
{'sample_size': 1000, 'difference': -112, 'noise': 0.05, 'n': 79, 'shap_error': 0.0005695992097684315}
{'sample_size': 1000, 'difference': -50, 'noise': 0.1, 'n': 79, 'shap_error': 0.0006478678333373606}
{'sample_size': 1000, 'difference': -118, 'noise': 0.5, 'n': 79, 'shap_error': 0.0034018273850415807}
{'sample_size': 1000, 'difference': -114, 'noise': 1, 'n': 79, 'shap_error': 0.019038494400730476}
{'sample_size': 1000, 'difference': -62, 'noise': 0, 'n': 79, 'shap_error': 0.0008276543752966596}
