{'sample_size': 16000, 'noise': 0, 'shap_error': 1.2982243015923085e-16, 'weighted_error': 0.99999999999983, 'gamma': 1.1}
{'sample_size': 500, 'noise': 0, 'shap_error': 3.671708869975514e-07, 'weighted_error': 1.0062591079782872, 'gamma': 1.2}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.3500834331838178e-07, 'weighted_error': 1.002301472133837, 'gamma': 1.2}
{'sample_size': 2000, 'noise': 0, 'shap_error': 1.809967311409564e-08, 'weighted_error': 1.0003085480342664, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.3538124011466932e-09, 'weighted_error': 1.0000230768316525, 'gamma': 1.2}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.1548753910056778e-17, 'weighted_error': 0.9999999999998386, 'gamma': 1.2}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.1548753910056778e-17, 'weighted_error': 0.9999999999998386, 'gamma': 1.2}
{'sample_size': 500, 'noise': 0, 'shap_error': 4.2700488705471207e-07, 'weighted_error': 1.002378345020918, 'gamma': 2.6}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.953929674292945e-07, 'weighted_error': 1.001088305030617, 'gamma': 2.6}
{'sample_size': 2000, 'noise': 0, 'shap_error': 8.859201788861574e-08, 'weighted_error': 1.000493442365331, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.561143510679109e-09, 'weighted_error': 1.0000142651283388, 'gamma': 2.6}
{'sample_size': 8000, 'noise': 0, 'shap_error': 6.143416765100421e-18, 'weighted_error': 0.9999999999999657, 'gamma': 2.6}
{'sample_size': 16000, 'noise': 0, 'shap_error': 6.143416765100421e-18, 'weighted_error': 0.9999999999999657, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.10885898941091e-09, 'weighted_error': 1.0000260793625038, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 7.58026089775646e-09, 'weighted_error': 1.000045472124005, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.8708340179728967e-08, 'weighted_error': 1.0001081806378698, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 3.833733598859558e-07, 'weighted_error': 1.002169215833859, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.5283055981448863e-06, 'weighted_error': 1.0086439275415284, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 3.825180204926237e-05, 'weighted_error': 1.2163783297101973, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00015306626897577429, 'weighted_error': 1.8658881036893165, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.003827985858892465, 'weighted_error': 22.655637146253532, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.015312644982549832, 'weighted_error': 87.62700057628707, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.5614514126264185e-09, 'weighted_error': 1.0000420210935417, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.928545152773443e-08, 'weighted_error': 1.0000605650751428, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 7.069344933107583e-08, 'weighted_error': 1.0001828560641095, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.802581348534215e-06, 'weighted_error': 1.0048960762410035, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 7.269001014479157e-06, 'weighted_error': 1.0201248321250205, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.0001830627500196793, 'weighted_error': 1.5154441057131405, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0007329609154702817, 'weighted_error': 3.0683162639882586, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.01833838540683917, 'weighted_error': 52.840216181787724, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.07336076394046047, 'weighted_error': 208.42739770803317, 'gamma': 2.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.825772962523862e-09, 'weighted_error': 1.0000179046095896, 'gamma': 1.1}
