{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00048783941137210283, 'weighted_error': 1.0012919201610506}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0004308598615524838, 'weighted_error': 1.0011410319817384}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.180505964632456e-05, 'weighted_error': 1.000243123777512}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00017481880244249484, 'weighted_error': 1.0122860587457916}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00016661346741392037, 'weighted_error': 1.0117094150295831}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.249175664208406e-05, 'weighted_error': 1.0015806550867417}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.326605449534158e-05, 'weighted_error': 1.002337929538009}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.5552522616585448e-05, 'weighted_error': 1.001092989595535}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.471513084989127e-06, 'weighted_error': 1.0005953506615917}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012521932984148642, 'weighted_error': 1.0262313754746273}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002740503387391474, 'weighted_error': 1.005740803992321}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001366367350290179, 'weighted_error': 1.0028622467141133}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.126944072352671e-05, 'weighted_error': 1.0014929409029192}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0782024975023371e-05, 'weighted_error': 1.0002258725824305}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3520601156572728e-05, 'weighted_error': 1.000492702474004}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.002659703800301301, 'weighted_error': 1.0030834511467472}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.011828620716475266, 'weighted_error': 1.0137131744013361}
