{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00018506071911351653, 'weighted_error': 1.0004900845566451}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00011346516453751091, 'weighted_error': 1.00030048858237}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.3967422826060725e-05, 'weighted_error': 1.0001164378274787}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005977779000646656, 'weighted_error': 1.042010853388676}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00013926333118113475, 'weighted_error': 1.009787320027189}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.773206175156796e-05, 'weighted_error': 1.0047601380497069}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.6797168210996382e-05, 'weighted_error': 1.0018832929196457}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.435677012273247e-05, 'weighted_error': 1.0024145128535267}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0604748969658297e-05, 'weighted_error': 1.000745300452998}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00024044923807201943, 'weighted_error': 1.0050370383575722}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00014677100131519618, 'weighted_error': 1.003074638672734}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010394299794791304, 'weighted_error': 1.002177413968482}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010065996538934766, 'weighted_error': 1.0021085983276041}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1334753962604596e-05, 'weighted_error': 1.0002374495664896}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.9782951361659287e-06, 'weighted_error': 1.000062385509857}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00292351280388078, 'weighted_error': 1.0033892975828267}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0015265242254974014, 'weighted_error': 1.0017697160398307}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0038739463294946474, 'weighted_error': 1.0044909940754438}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0008928008021885962, 'weighted_error': 1.001034794552191}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0025969241729310055, 'weighted_error': 1.0029922245949559}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0035380830766238614, 'weighted_error': 1.0040453182735534}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.026516116042590077, 'weighted_error': 1.0305017479821417}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.10022473778185614, 'weighted_error': 1.1161524727853378}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00017933958678863503, 'weighted_error': 1.007007061581925}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00014835549874693516, 'weighted_error': 1.0057952940100996}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0002167665762754177, 'weighted_error': 1.0084676710126625}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0008592492775088257, 'weighted_error': 1.0333321087668506}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0008454586737374149, 'weighted_error': 1.033006462689471}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0008725811710349298, 'weighted_error': 1.0328379346709882}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.04614002034228529, 'weighted_error': 2.683485337055008}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.10922399670013949, 'weighted_error': 2.978202817413075}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0013282160214368093, 'weighted_error': 1.112749352716742}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0006223240561667948, 'weighted_error': 1.0528259388474617}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0010599833452051282, 'weighted_error': 1.089937237297767}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.00025054890207159175, 'weighted_error': 1.0210799435005502}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0006591041984364884, 'weighted_error': 1.0545313488484163}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0005904297776921887, 'weighted_error': 1.0426907219654737}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.010281501108881996, 'weighted_error': 1.87144837951081}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.2644527851706039, 'weighted_error': 20.362909804166453}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0008370870294001937, 'weighted_error': 1.004208804672243}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0002617306833446561, 'weighted_error': 1.0013159450523876}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0004181025080262138, 'weighted_error': 1.0021008370821296}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.00025759098119147424, 'weighted_error': 1.0012596617623264}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.000245224492146603, 'weighted_error': 1.0010030550634572}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0034198064245214727, 'weighted_error': 1.0117303658106476}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0185483309293466, 'weighted_error': 1.0895164618272462}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.10274665827015798, 'weighted_error': 1.501629159506143}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0005183977278738049, 'weighted_error': 1.0019850595231445}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0003148239462929409, 'weighted_error': 1.0012049613510563}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0011847146143924125, 'weighted_error': 1.004536199797189}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0002821304865204484, 'weighted_error': 1.0010803562104278}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0006841348393743739, 'weighted_error': 1.000388253225117}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0011361657451211431, 'weighted_error': 1.0043387479964945}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0072805509787486865, 'weighted_error': 1.0275809672200937}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.07165764428888112, 'weighted_error': 1.2732035943881113}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 5.204503871042242e-08, 'weighted_error': 1.0000010132324206}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 1.8495010592587619e-07, 'weighted_error': 1.0000008736270392}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.1881682818234214e-06, 'weighted_error': 1.000011514304262}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 8.674913175508851e-06, 'weighted_error': 1.0001746083640781}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00015652105912320876, 'weighted_error': 1.003456316718351}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.002442818238344196, 'weighted_error': 1.041075134896711}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.013486674203406608, 'weighted_error': 1.2554322718623914}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.07038815498560326, 'weighted_error': 2.520881512134637}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.301041653680219e-06, 'weighted_error': 1.0004577251125035}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 4.905657914783062e-06, 'weighted_error': 1.0005227134179475}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 8.929733372997464e-06, 'weighted_error': 1.0007382512536689}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.4757554996689683e-05, 'weighted_error': 1.00101041721893}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 4.729647247044359e-05, 'weighted_error': 1.0044986107985772}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.001675118466060479, 'weighted_error': 1.1421629392184611}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.02755722662866386, 'weighted_error': 2.6290974993865195}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.10605083922319054, 'weighted_error': 11.17142027532441}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0008400333479337348, 'weighted_error': 1.0022245240502854}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0003053743713820387, 'weighted_error': 1.000808357399887}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0014997646340021904, 'weighted_error': 1.0039599416438876}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0007754835506385937, 'weighted_error': 1.0020517335249988}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0018469556500968656, 'weighted_error': 1.0043478473610696}
