{'sample_size': 500, 'noise': 0, 'shap_error': 0.19003029826014445, 'weighted_error': 1.0069256641433317, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.044060019285715984, 'weighted_error': 1.001605792713548, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.03657035398533647, 'weighted_error': 1.0013328559907229, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.014158125943133778, 'weighted_error': 1.000516020126004, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.0048226121973580695, 'weighted_error': 1.0001757679331718, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.005509453513157568, 'weighted_error': 1.0002007914231783, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.06252301907676644, 'weighted_error': 1.0019360476779045, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.01274647706029021, 'weighted_error': 1.000394709978262, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.005247102544715566, 'weighted_error': 1.0001624740549133, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.003042082216058043, 'weighted_error': 1.0000941984830098, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.00181691952174356, 'weighted_error': 1.0000562620247737, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.001209781625254115, 'weighted_error': 1.0000374597178574, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.10519210080933897, 'weighted_error': 1.00159967715636, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.08008999425335099, 'weighted_error': 1.0012178777514298, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.10822528544646015, 'weighted_error': 1.0016457640379852, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.031796163621816455, 'weighted_error': 1.0004835083619126, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.08656878225447916, 'weighted_error': 1.0013164872835618, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.050263218289771316, 'weighted_error': 1.0007643093183214, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.105176897375078, 'weighted_error': 1.0015990553148066, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.07893095707522785, 'weighted_error': 1.0011927132535081, 'gamma': 0.0}
