{'sample_size': 790, 'difference': -85, 'noise': 0.0005, 'n': 79, 'shap_error': 0.007413960037976988}
{'sample_size': 790, 'difference': -85, 'noise': 0.001, 'n': 79, 'shap_error': 0.009419778810526861}
{'sample_size': 790, 'difference': -85, 'noise': 0.005, 'n': 79, 'shap_error': 0.01386228320442759}
{'sample_size': 790, 'difference': -85, 'noise': 0.01, 'n': 79, 'shap_error': 0.01847935913805268}
{'sample_size': 790, 'difference': -85, 'noise': 0.05, 'n': 79, 'shap_error': 0.016463869266741156}
{'sample_size': 790, 'difference': -85, 'noise': 0.1, 'n': 79, 'shap_error': 0.016079954970613614}
{'sample_size': 790, 'difference': -85, 'noise': 0.5, 'n': 79, 'shap_error': 0.04752642303596786}
{'sample_size': 790, 'difference': -85, 'noise': 1, 'n': 79, 'shap_error': 0.20084752794027533}
{'sample_size': 790, 'difference': -85, 'noise': 0.0005, 'n': 79, 'shap_error': 0.0006940400280139987}
{'sample_size': 790, 'difference': -85, 'noise': 0.001, 'n': 79, 'shap_error': 0.0006468054070606511}
{'sample_size': 790, 'difference': -85, 'noise': 0.005, 'n': 79, 'shap_error': 0.00046687200342105235}
{'sample_size': 790, 'difference': -85, 'noise': 0.01, 'n': 79, 'shap_error': 0.0012556580017064629}
{'sample_size': 790, 'difference': -85, 'noise': 0.05, 'n': 79, 'shap_error': 0.0011544495919756541}
{'sample_size': 790, 'difference': -85, 'noise': 0.1, 'n': 79, 'shap_error': 0.0038286073139654486}
{'sample_size': 790, 'difference': -85, 'noise': 0.5, 'n': 79, 'shap_error': 0.05331151570940483}
{'sample_size': 790, 'difference': -85, 'noise': 1, 'n': 79, 'shap_error': 0.14837332145417612}
{'sample_size': 790, 'difference': -85, 'noise': 0.0005, 'n': 79, 'shap_error': 0.0009046814838546197}
{'sample_size': 790, 'difference': -85, 'noise': 0.001, 'n': 79, 'shap_error': 0.0007066279644011448}
{'sample_size': 790, 'difference': -85, 'noise': 0.005, 'n': 79, 'shap_error': 0.0036883524263374556}
{'sample_size': 790, 'difference': -85, 'noise': 0.01, 'n': 79, 'shap_error': 0.0014379952806857588}
{'sample_size': 790, 'difference': -85, 'noise': 0.05, 'n': 79, 'shap_error': 0.002168825520792235}
{'sample_size': 790, 'difference': -85, 'noise': 0.1, 'n': 79, 'shap_error': 0.0022266888797563733}
{'sample_size': 790, 'difference': -85, 'noise': 0.5, 'n': 79, 'shap_error': 0.04776534048256231}
{'sample_size': 790, 'difference': -85, 'noise': 1, 'n': 79, 'shap_error': 0.19228099864049067}
{'sample_size': 790, 'difference': -25, 'noise': 0.0005, 'n': 79, 'shap_error': 0.005675601433903773}
{'sample_size': 790, 'difference': -25, 'noise': 0.001, 'n': 79, 'shap_error': 0.0086228037241751}
{'sample_size': 790, 'difference': -25, 'noise': 0.005, 'n': 79, 'shap_error': 0.00654037870691374}
{'sample_size': 790, 'difference': -25, 'noise': 0.01, 'n': 79, 'shap_error': 0.006855969961754366}
{'sample_size': 790, 'difference': -25, 'noise': 0.05, 'n': 79, 'shap_error': 0.003300383087920504}
{'sample_size': 790, 'difference': -25, 'noise': 0.1, 'n': 79, 'shap_error': 0.00613882196197289}
{'sample_size': 790, 'difference': -25, 'noise': 0.5, 'n': 79, 'shap_error': 0.05030233959958105}
{'sample_size': 790, 'difference': -25, 'noise': 1, 'n': 79, 'shap_error': 0.13737984404164702}
{'sample_size': 790, 'difference': -154, 'noise': 0.0005, 'n': 79, 'shap_error': 0.00026774118448645405}
{'sample_size': 790, 'difference': -154, 'noise': 0.001, 'n': 79, 'shap_error': 0.0023656929131124107}
{'sample_size': 790, 'difference': -154, 'noise': 0.005, 'n': 79, 'shap_error': 0.0024339403681664993}
{'sample_size': 790, 'difference': -154, 'noise': 0.01, 'n': 79, 'shap_error': 0.001754397230556694}
{'sample_size': 790, 'difference': -154, 'noise': 0.05, 'n': 79, 'shap_error': 0.0016264198055828823}
{'sample_size': 790, 'difference': -154, 'noise': 0.1, 'n': 79, 'shap_error': 0.003211571182440784}
{'sample_size': 790, 'difference': -154, 'noise': 0.5, 'n': 79, 'shap_error': 0.059284417982721015}
{'sample_size': 790, 'difference': -154, 'noise': 1, 'n': 79, 'shap_error': 0.17950739681173827}
{'sample_size': 790, 'difference': -154, 'noise': 0.0005, 'n': 79, 'shap_error': 0.001669250323464258}
{'sample_size': 790, 'difference': -154, 'noise': 0.001, 'n': 79, 'shap_error': 0.004660284919133289}
{'sample_size': 790, 'difference': -154, 'noise': 0.005, 'n': 79, 'shap_error': 0.003393515366094563}
{'sample_size': 790, 'difference': -154, 'noise': 0.01, 'n': 79, 'shap_error': 0.002832670783408871}
{'sample_size': 790, 'difference': -154, 'noise': 0.05, 'n': 79, 'shap_error': 0.004142323986006855}
{'sample_size': 790, 'difference': -154, 'noise': 0.1, 'n': 79, 'shap_error': 0.013452499710432027}
{'sample_size': 790, 'difference': -154, 'noise': 0.5, 'n': 79, 'shap_error': 0.0611566034520165}
{'sample_size': 790, 'difference': -154, 'noise': 1, 'n': 79, 'shap_error': 0.23146607733266295}
{'sample_size': 790, 'difference': -95, 'noise': 0.0005, 'n': 79, 'shap_error': 0.03641161824836557}
{'sample_size': 790, 'difference': -95, 'noise': 0.001, 'n': 79, 'shap_error': 0.03347534053758932}
{'sample_size': 790, 'difference': -95, 'noise': 0.005, 'n': 79, 'shap_error': 0.021643333461425496}
{'sample_size': 790, 'difference': -95, 'noise': 0.01, 'n': 79, 'shap_error': 0.021291298238021825}
{'sample_size': 790, 'difference': -95, 'noise': 0.05, 'n': 79, 'shap_error': 0.01605033640436984}
{'sample_size': 790, 'difference': -95, 'noise': 0.1, 'n': 79, 'shap_error': 0.023496258693799593}
{'sample_size': 790, 'difference': -95, 'noise': 0.5, 'n': 79, 'shap_error': 0.05285436499048225}
{'sample_size': 790, 'difference': -95, 'noise': 1, 'n': 79, 'shap_error': 0.1902917073110761}
{'sample_size': 790, 'difference': -85, 'noise': 0.0005, 'n': 79, 'shap_error': 2.9984779474795042e-05}
{'sample_size': 790, 'difference': -85, 'noise': 0.001, 'n': 79, 'shap_error': 1.683727258300345e-05}
{'sample_size': 790, 'difference': -85, 'noise': 0.005, 'n': 79, 'shap_error': 2.1621443585058705e-05}
