{'sample_size': 1000, 'difference': -58, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0012906002692530995}
{'sample_size': 1000, 'difference': -106, 'noise': 0.001, 'n': 60, 'shap_error': 0.0012994432262684}
{'sample_size': 1000, 'difference': -72, 'noise': 0.005, 'n': 60, 'shap_error': 0.0014547970437326274}
{'sample_size': 1000, 'difference': -35, 'noise': 0.01, 'n': 60, 'shap_error': 0.0008333481855917272}
{'sample_size': 1000, 'difference': -11, 'noise': 0.05, 'n': 60, 'shap_error': 0.0009042908765189065}
{'sample_size': 1000, 'difference': -15, 'noise': 0.1, 'n': 60, 'shap_error': 0.0012632033393729593}
{'sample_size': 1000, 'difference': -63, 'noise': 0.5, 'n': 60, 'shap_error': 0.003973370792522913}
{'sample_size': 1000, 'difference': -43, 'noise': 1, 'n': 60, 'shap_error': 0.024231087417744657}
{'sample_size': 1000, 'difference': -56, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00023420867458438265}
{'sample_size': 1000, 'difference': -53, 'noise': 0.001, 'n': 60, 'shap_error': 0.00016904268900527262}
{'sample_size': 1000, 'difference': -77, 'noise': 0.005, 'n': 60, 'shap_error': 0.0002275274950398605}
{'sample_size': 1000, 'difference': -35, 'noise': 0.01, 'n': 60, 'shap_error': 0.00020133675621738563}
{'sample_size': 1000, 'difference': -118, 'noise': 0.05, 'n': 60, 'shap_error': 0.00022188517541250598}
{'sample_size': 1000, 'difference': -23, 'noise': 0.1, 'n': 60, 'shap_error': 0.0003868150445193547}
{'sample_size': 1000, 'difference': -68, 'noise': 0.5, 'n': 60, 'shap_error': 0.0037422056503565236}
{'sample_size': 1000, 'difference': -69, 'noise': 1, 'n': 60, 'shap_error': 0.01896996110809745}
{'sample_size': 1000, 'difference': -117, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0016216671935940514}
{'sample_size': 1000, 'difference': -91, 'noise': 0.001, 'n': 60, 'shap_error': 0.0010764580875174397}
{'sample_size': 1000, 'difference': -48, 'noise': 0.005, 'n': 60, 'shap_error': 0.0013705157336446254}
{'sample_size': 1000, 'difference': -29, 'noise': 0.01, 'n': 60, 'shap_error': 0.0016359304110894585}
{'sample_size': 1000, 'difference': -80, 'noise': 0.05, 'n': 60, 'shap_error': 0.001388328011109908}
{'sample_size': 1000, 'difference': -85, 'noise': 0.1, 'n': 60, 'shap_error': 0.0015198174738917992}
