{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.566503381238283e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.56650338121063e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496212}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.6069769952318215e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0025973989316164}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.742203565491275e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.002695939833142}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.6158003714197245e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0018836789540002}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.480491670806219e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0017864441223898}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.303919532283897e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0009392751663524}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.782524419120886e-08, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.000056078464516}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.419403795719264e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.419403795712407e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.419403795682947e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.419403795692227e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.419403795670398e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.4194037956939705e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 2.2500039796418004e-22}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 3.0867823191780076e-22}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.9152926438273179e-22}
