{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(146.91408465675713)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(161.37263584433987)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(152.85444886849228)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(230.22873012708695)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(143.4217846066387)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(162.67245460253656)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(155.3906906284896)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(148.21347010153838)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(154.10542839886534)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(271.0084765154963)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(189.00612563954013)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(223.5491890394191)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(210.71704089296216)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(202.48293804716565)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(204.82721289544133)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(181.44605756022756)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(179.3175698830607)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(172.83550188268015)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(147.37120882333383)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(159.87635066889518)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(152.41242725872306)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(414.9080803265753)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(377.1675204687568)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(357.6686976679264)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(279.9076280440737)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(328.56104432546164)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(296.6150381724075)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(47.34403175909481)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(39.69329620989352)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(40.125111556377206)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(39.147536094268375)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(37.92270491296149)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(38.63612732102364)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(214.54337475725734)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(158.0781497294211)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(151.82332028595457)}
