{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.448376229560206e-09, 'weighted_error': 1.000023620336975, 'gamma': 70.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.467400817481191e-09, 'weighted_error': 1.0000449626371934, 'gamma': 70.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.0700836073615966e-09, 'weighted_error': 1.000005682203072, 'gamma': 70.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.516691292928514e-10, 'weighted_error': 1.0000013362514717, 'gamma': 70.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.368804936907336e-07, 'weighted_error': 1.0004400483280937, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.5688969473852247e-07, 'weighted_error': 1.0002914402336927, 'gamma': 2.3}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.5941548476739865e-08, 'weighted_error': 1.0000853430690013, 'gamma': 2.3}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.9231715816609163e-08, 'weighted_error': 1.000035728314982, 'gamma': 2.3}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.802630058101583e-09, 'weighted_error': 1.00001263797766, 'gamma': 2.3}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.972827165064914e-09, 'weighted_error': 1.0000129547542247, 'gamma': 2.3}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.1390481354755785e-07, 'weighted_error': 1.0053511243670499, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.9623174197985683e-07, 'weighted_error': 1.0050498640365948, 'gamma': 43.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.016281431725966e-07, 'weighted_error': 1.0017324412599118, 'gamma': 43.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.8106680135833276e-08, 'weighted_error': 1.000649602089322, 'gamma': 43.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.3197296524577502e-08, 'weighted_error': 1.000224974096057, 'gamma': 43.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.916335199228032e-09, 'weighted_error': 1.0001008512817646, 'gamma': 43.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.385042080163245e-07, 'weighted_error': 1.0035563567283647, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.876275318197226e-07, 'weighted_error': 1.003829949169938, 'gamma': 1100.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.1254193855737302e-07, 'weighted_error': 1.001183824782571, 'gamma': 1100.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.2949588578232486e-08, 'weighted_error': 1.0002392223452117, 'gamma': 1100.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.1406996548231226e-08, 'weighted_error': 1.0001749344266038, 'gamma': 1100.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.524085882894093e-08, 'weighted_error': 1.0002519874686804, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.57244468816917e-08, 'weighted_error': 1.000226753494408, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 3.814925492693684e-08, 'weighted_error': 1.0002405681388555, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 9.082370999215645e-08, 'weighted_error': 1.0005701835039973, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 2.959709351267903e-07, 'weighted_error': 1.0017210124515923, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 3.2451404269269887e-07, 'weighted_error': 1.0014293616823695, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.8145417117022626e-05, 'weighted_error': 1.1628856032718753, 'gamma': 61.0}
