{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0009339791337839913, 'weighted_error': 1.0119347658913471}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003477895585354076, 'weighted_error': 1.0024537673906457}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00045438652425758584, 'weighted_error': 1.0072219934214626}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00736526107699576, 'weighted_error': 1.0157908621891083}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.516110951713935e-06, 'weighted_error': 1.0047406699558632}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00016532517727989028, 'weighted_error': 1.002371371982894}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001911903882941489, 'weighted_error': 1.0027762366100805}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.005267257992775559, 'weighted_error': 1.01401218269239}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.901378547636223e-06, 'weighted_error': 1.0000135230571663}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.002008021709557943, 'weighted_error': 1.0025622200650832}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0002929715735560003, 'weighted_error': 1.0017980319307014}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00043814343623190704, 'weighted_error': 1.0006196346714462}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008069268185495927, 'weighted_error': 1.002706178645517}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.9395379584628513e-05, 'weighted_error': 1.0002009895570154}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.002341830893766797, 'weighted_error': 1.004665734798663}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.014988479955756712, 'weighted_error': 1.0607762666875267}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008490306205368343, 'weighted_error': 1.0042608023171586}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00025785878314035673, 'weighted_error': 1.001192452820206}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.591806247377332e-06, 'weighted_error': 1.0012460547717004}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00016621740894557285, 'weighted_error': 1.0009908837267543}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003921051933074504, 'weighted_error': 1.0025133834140563}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 4.33748053893881e-09, 'weighted_error': 1.0000004922767927}
