{'sample_size': 16000, 'difference': 254, 'noise': 0, 'n': 60, 'shap_error': 1.0575167615235355e-07}
{'sample_size': 1000, 'difference': -74, 'noise': 0, 'n': 60, 'shap_error': 5.553012409757172e-05}
{'sample_size': 1000, 'difference': -48, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0001596948235707473}
{'sample_size': 1000, 'difference': 16, 'noise': 0.001, 'n': 60, 'shap_error': 0.00011474387058394335}
{'sample_size': 1000, 'difference': 68, 'noise': 0.005, 'n': 60, 'shap_error': 0.00010163982373839032}
{'sample_size': 1000, 'difference': -104, 'noise': 0.01, 'n': 60, 'shap_error': 0.00014222507914326887}
{'sample_size': 1000, 'difference': -120, 'noise': 0.05, 'n': 60, 'shap_error': 0.00020010051736622548}
{'sample_size': 1000, 'difference': -62, 'noise': 0.1, 'n': 60, 'shap_error': 0.00026242947226651106}
{'sample_size': 1000, 'difference': -14, 'noise': 0.5, 'n': 60, 'shap_error': 0.003377945295395033}
{'sample_size': 1000, 'difference': -10, 'noise': 1, 'n': 60, 'shap_error': 0.009992919459097256}
{'sample_size': 1000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 4.834296837451237e-05}
{'sample_size': 1000, 'difference': -54, 'noise': 0.0005, 'n': 60, 'shap_error': 4.268568962911999e-05}
{'sample_size': 1000, 'difference': -64, 'noise': 0.001, 'n': 60, 'shap_error': 2.8911585872604277e-05}
{'sample_size': 1000, 'difference': -158, 'noise': 0.005, 'n': 60, 'shap_error': 5.080921791838189e-05}
{'sample_size': 1000, 'difference': -52, 'noise': 0.01, 'n': 60, 'shap_error': 3.89653230900473e-05}
{'sample_size': 1000, 'difference': -28, 'noise': 0.05, 'n': 60, 'shap_error': 8.427251870189079e-05}
{'sample_size': 1000, 'difference': 6, 'noise': 0.1, 'n': 60, 'shap_error': 0.00023653364041085126}
{'sample_size': 1000, 'difference': -74, 'noise': 0.5, 'n': 60, 'shap_error': 0.005764123378139841}
{'sample_size': 1000, 'difference': -10, 'noise': 1, 'n': 60, 'shap_error': 0.015298239611107285}
{'sample_size': 1000, 'difference': -68, 'noise': 0, 'n': 60, 'shap_error': 0.00045792556027122257}
{'sample_size': 1000, 'difference': -74, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0005775512432982123}
{'sample_size': 1000, 'difference': -100, 'noise': 0.001, 'n': 60, 'shap_error': 0.00072091693459604}
{'sample_size': 1000, 'difference': -74, 'noise': 0.005, 'n': 60, 'shap_error': 0.0005231109540725095}
{'sample_size': 1000, 'difference': -80, 'noise': 0.01, 'n': 60, 'shap_error': 0.00041137069780406387}
{'sample_size': 1000, 'difference': -38, 'noise': 0.05, 'n': 60, 'shap_error': 0.0006308651110277884}
{'sample_size': 1000, 'difference': -114, 'noise': 0.1, 'n': 60, 'shap_error': 0.0007463540432458602}
{'sample_size': 1000, 'difference': -16, 'noise': 0.5, 'n': 60, 'shap_error': 0.004086919744095966}
{'sample_size': 1000, 'difference': -118, 'noise': 1, 'n': 60, 'shap_error': 0.016122950862172473}
{'sample_size': 1000, 'difference': -48, 'noise': 0, 'n': 60, 'shap_error': 0.00011187409626502585}
{'sample_size': 1000, 'difference': -116, 'noise': 0.0005, 'n': 60, 'shap_error': 9.981267902949915e-05}
{'sample_size': 1000, 'difference': -50, 'noise': 0.001, 'n': 60, 'shap_error': 0.0001129517101446395}
{'sample_size': 1000, 'difference': -94, 'noise': 0.005, 'n': 60, 'shap_error': 0.00012277587822652193}
{'sample_size': 1000, 'difference': 8, 'noise': 0.01, 'n': 60, 'shap_error': 0.00010712029265246922}
{'sample_size': 1000, 'difference': 16, 'noise': 0.05, 'n': 60, 'shap_error': 0.00017590190437169595}
{'sample_size': 1000, 'difference': -62, 'noise': 0.1, 'n': 60, 'shap_error': 0.0002410799253215166}
{'sample_size': 1000, 'difference': -68, 'noise': 0.5, 'n': 60, 'shap_error': 0.004455983403881271}
{'sample_size': 1000, 'difference': -64, 'noise': 1, 'n': 60, 'shap_error': 0.030514236195741284}
{'sample_size': 1000, 'difference': -126, 'noise': 0, 'n': 60, 'shap_error': 1.4369215560882187e-05}
{'sample_size': 1000, 'difference': -108, 'noise': 0.0005, 'n': 60, 'shap_error': 1.6271571781365e-05}
{'sample_size': 1000, 'difference': -4, 'noise': 0.001, 'n': 60, 'shap_error': 1.2249089122290413e-05}
{'sample_size': 1000, 'difference': 40, 'noise': 0.005, 'n': 60, 'shap_error': 1.506214115180412e-05}
{'sample_size': 1000, 'difference': 20, 'noise': 0.01, 'n': 60, 'shap_error': 1.3672872513486085e-05}
{'sample_size': 1000, 'difference': -134, 'noise': 0.05, 'n': 60, 'shap_error': 3.927527486192681e-05}
{'sample_size': 1000, 'difference': -46, 'noise': 0.1, 'n': 60, 'shap_error': 0.00014717228364918793}
{'sample_size': 1000, 'difference': -88, 'noise': 0.5, 'n': 60, 'shap_error': 0.002891983567082933}
{'sample_size': 1000, 'difference': -20, 'noise': 1, 'n': 60, 'shap_error': 0.013271118075016963}
{'sample_size': 1000, 'difference': -70, 'noise': 0, 'n': 60, 'shap_error': 0.00010343110885461036}
{'sample_size': 1000, 'difference': -50, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00012292130755661097}
{'sample_size': 1000, 'difference': -82, 'noise': 0.001, 'n': 60, 'shap_error': 9.010690703961095e-05}
{'sample_size': 1000, 'difference': -92, 'noise': 0.005, 'n': 60, 'shap_error': 0.00012456723959138318}
{'sample_size': 1000, 'difference': -94, 'noise': 0.01, 'n': 60, 'shap_error': 5.782670262594551e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 60, 'shap_error': 0.00011367478946735798}
{'sample_size': 1000, 'difference': -134, 'noise': 0.1, 'n': 60, 'shap_error': 0.0003140883443321519}
{'sample_size': 1000, 'difference': -66, 'noise': 0.5, 'n': 60, 'shap_error': 0.0034636880967688095}
{'sample_size': 1000, 'difference': -76, 'noise': 1, 'n': 60, 'shap_error': 0.017092365419202792}
{'sample_size': 1000, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 0.0001366217028550947}
{'sample_size': 1000, 'difference': -78, 'noise': 0.0005, 'n': 60, 'shap_error': 8.517087807908247e-05}
{'sample_size': 1000, 'difference': -76, 'noise': 0.001, 'n': 60, 'shap_error': 0.0001045277245603895}
{'sample_size': 1000, 'difference': -138, 'noise': 0.005, 'n': 60, 'shap_error': 0.00010309098848069594}
{'sample_size': 1000, 'difference': -72, 'noise': 0.01, 'n': 60, 'shap_error': 0.00013182524274338512}
{'sample_size': 1000, 'difference': -72, 'noise': 0.05, 'n': 60, 'shap_error': 0.00010830746606890065}
{'sample_size': 1000, 'difference': -134, 'noise': 0.1, 'n': 60, 'shap_error': 0.00027993424072950075}
{'sample_size': 1000, 'difference': -84, 'noise': 0.5, 'n': 60, 'shap_error': 0.004193953303170493}
{'sample_size': 1000, 'difference': -118, 'noise': 1, 'n': 60, 'shap_error': 0.018417572802821802}
{'sample_size': 1000, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 6.072766192097113e-05}
{'sample_size': 1000, 'difference': -122, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0001034375634925042}
{'sample_size': 1000, 'difference': -30, 'noise': 0.001, 'n': 60, 'shap_error': 8.212603050311066e-05}
{'sample_size': 1000, 'difference': -86, 'noise': 0.005, 'n': 60, 'shap_error': 7.238434222517243e-05}
{'sample_size': 1000, 'difference': -10, 'noise': 0.01, 'n': 60, 'shap_error': 7.566340620768314e-05}
{'sample_size': 1000, 'difference': -92, 'noise': 0.05, 'n': 60, 'shap_error': 0.00014652474893061564}
{'sample_size': 1000, 'difference': -132, 'noise': 0.1, 'n': 60, 'shap_error': 0.00018802486133658936}
{'sample_size': 1000, 'difference': -94, 'noise': 0.5, 'n': 60, 'shap_error': 0.0029303263491213655}
{'sample_size': 1000, 'difference': -62, 'noise': 1, 'n': 60, 'shap_error': 0.014830956554801602}
{'sample_size': 1000, 'difference': -54, 'noise': 0, 'n': 60, 'shap_error': 0.0004875953975218467}
