{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.815696571121544e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965752982798e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965677735545e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.8156965695879328e-11, 'weighted_error': 0.9999999999998428}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 10, 'shap_error': 0.10404535678479077, 'weighted_error': 1.0037919889087645}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0009254492454954203, 'weighted_error': 1.0000337334392435}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 3.662491737549934e-11, 'weighted_error': 0.9999999999987402}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 3.662491739268725e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 3.6624917366555376e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 3.662491741420189e-11, 'weighted_error': 0.9999999999987406}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'shap_error': 0.1045291708386358, 'weighted_error': 1.0032367729128706}
{'sample_size': 1000, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0014318076018345503, 'weighted_error': 1.0000443387104438}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.508830388754355e-12, 'weighted_error': 0.9999999999997721}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.508830380880935e-12, 'weighted_error': 0.9999999999997721}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.508830369884766e-12, 'weighted_error': 0.9999999999997718}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.508830394615305e-12, 'weighted_error': 0.9999999999997721}
{'sample_size': 1000, 'difference': 1, 'noise': 0.0005, 'n': 10, 'shap_error': 0.0016225160606902302, 'weighted_error': 1.0000246753166786}
{'sample_size': 1000, 'difference': -3, 'noise': 0.001, 'n': 10, 'shap_error': 0.002298169763503428, 'weighted_error': 1.000034942188449}
{'sample_size': 1000, 'difference': 3, 'noise': 0.005, 'n': 10, 'shap_error': 0.0012237682160740062, 'weighted_error': 1.0000185904543084}
{'sample_size': 1000, 'difference': -3, 'noise': 0.01, 'n': 10, 'shap_error': 0.0024776410861562263, 'weighted_error': 1.000037651250042}
{'sample_size': 1000, 'difference': 3, 'noise': 0.05, 'n': 10, 'shap_error': 0.0012929204928583305, 'weighted_error': 1.000019293353352}
{'sample_size': 1000, 'difference': -1, 'noise': 0.1, 'n': 10, 'shap_error': 0.00265254981906344, 'weighted_error': 1.0000388541409517}
{'sample_size': 1000, 'difference': 4, 'noise': 0.5, 'n': 10, 'shap_error': 0.01902222855354441, 'weighted_error': 1.000110101204507}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.035383521388220304, 'weighted_error': 1.0005347436050251}
{'sample_size': 1000, 'difference': -1, 'noise': 0.0005, 'n': 10, 'shap_error': 0.006902061323079661, 'weighted_error': 1.0001326451592023}
{'sample_size': 1000, 'difference': 7, 'noise': 0.001, 'n': 10, 'shap_error': 0.001444264354368723, 'weighted_error': 1.0000277595923102}
{'sample_size': 1000, 'difference': -10, 'noise': 0.005, 'n': 10, 'shap_error': 0.006352541627774888, 'weighted_error': 1.0001220695047306}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.0039828976206865456, 'weighted_error': 1.0000765495141546}
{'sample_size': 1000, 'difference': -3, 'noise': 0.05, 'n': 10, 'shap_error': 0.006763185804301262, 'weighted_error': 1.000129914825312}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.004480309720376782, 'weighted_error': 1.0000858545677087}
{'sample_size': 1000, 'difference': -3, 'noise': 0.5, 'n': 10, 'shap_error': 0.015308691151460645, 'weighted_error': 1.0001254987342496}
{'sample_size': 1000, 'difference': -3, 'noise': 1, 'n': 10, 'shap_error': 0.04614759825996552, 'weighted_error': 1.0002120363786766}
{'sample_size': 1000, 'difference': -1, 'noise': 0.0005, 'n': 10, 'shap_error': 0.01111033079146029, 'weighted_error': 1.0001209051480529}
{'sample_size': 1000, 'difference': -2, 'noise': 0.001, 'n': 10, 'shap_error': 0.0027243064742349787, 'weighted_error': 1.0000296422446615}
{'sample_size': 1000, 'difference': -2, 'noise': 0.005, 'n': 10, 'shap_error': 0.0029449604286410826, 'weighted_error': 1.0000320477907234}
{'sample_size': 1000, 'difference': -3, 'noise': 0.01, 'n': 10, 'shap_error': 0.0066306541558912675, 'weighted_error': 1.000072146180453}
{'sample_size': 1000, 'difference': -4, 'noise': 0.05, 'n': 10, 'shap_error': 0.0030685929734551613, 'weighted_error': 1.0000324450438982}
{'sample_size': 1000, 'difference': 8, 'noise': 0.1, 'n': 10, 'shap_error': 0.0028120084793661613, 'weighted_error': 1.0000305732045849}
{'sample_size': 1000, 'difference': 4, 'noise': 0.5, 'n': 10, 'shap_error': 0.018146876563857973, 'weighted_error': 1.0001028832814238}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.03806375771080457, 'weighted_error': 1.0003766733161372}
{'sample_size': 1000, 'difference': 7, 'noise': 0.0005, 'n': 10, 'shap_error': 0.000733878263605226, 'weighted_error': 1.0000125294100766}
{'sample_size': 1000, 'difference': -5, 'noise': 0.001, 'n': 10, 'shap_error': 0.0014647604045953306, 'weighted_error': 1.000025009009332}
{'sample_size': 1000, 'difference': 1, 'noise': 0.005, 'n': 10, 'shap_error': 0.002354587276888708, 'weighted_error': 1.0000401659890594}
{'sample_size': 1000, 'difference': 3, 'noise': 0.01, 'n': 10, 'shap_error': 0.0010202884357495509, 'weighted_error': 1.0000172853394993}
{'sample_size': 1000, 'difference': 1, 'noise': 0.05, 'n': 10, 'shap_error': 0.00468197977142479, 'weighted_error': 1.0000765074361058}
{'sample_size': 1000, 'difference': -14, 'noise': 0.1, 'n': 10, 'shap_error': 0.006506969437997952, 'weighted_error': 1.000098384091318}
{'sample_size': 1000, 'difference': -3, 'noise': 0.5, 'n': 10, 'shap_error': 0.02836547194521256, 'weighted_error': 1.0001405422505847}
{'sample_size': 1000, 'difference': 6, 'noise': 1, 'n': 10, 'shap_error': 0.13340275481490127, 'weighted_error': 1.000902666106957}
{'sample_size': 1000, 'difference': -3, 'noise': 0.0005, 'n': 10, 'shap_error': 0.030984908148318023, 'weighted_error': 1.0000779780624887}
{'sample_size': 1000, 'difference': -1, 'noise': 0.001, 'n': 10, 'shap_error': 0.015151658252221487, 'weighted_error': 1.0000381248703687}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.03412605718848218, 'weighted_error': 1.0000858685139562}
{'sample_size': 1000, 'difference': 1, 'noise': 0.01, 'n': 10, 'shap_error': 0.017145684473612074, 'weighted_error': 1.0000431430828165}
{'sample_size': 1000, 'difference': -3, 'noise': 0.05, 'n': 10, 'shap_error': 0.016305740871084776, 'weighted_error': 1.0000409596438764}
{'sample_size': 1000, 'difference': 5, 'noise': 0.1, 'n': 10, 'shap_error': 0.013404271774719706, 'weighted_error': 1.0000335010061607}
{'sample_size': 1000, 'difference': -3, 'noise': 0.5, 'n': 10, 'shap_error': 0.0465035353059446, 'weighted_error': 1.0001113300063684}
{'sample_size': 1000, 'difference': -6, 'noise': 1, 'n': 10, 'shap_error': 0.06619940652748016, 'weighted_error': 1.0001438058012024}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.003216762072801203, 'weighted_error': 1.000040009154774}
{'sample_size': 1000, 'difference': 10, 'noise': 0.001, 'n': 10, 'shap_error': 0.0022192415171996024, 'weighted_error': 1.0000276053498152}
{'sample_size': 1000, 'difference': -6, 'noise': 0.005, 'n': 10, 'shap_error': 0.005215225888818338, 'weighted_error': 1.000064873824686}
{'sample_size': 1000, 'difference': -4, 'noise': 0.01, 'n': 10, 'shap_error': 0.0035513306986086034, 'weighted_error': 1.0000441729918346}
{'sample_size': 1000, 'difference': 5, 'noise': 0.05, 'n': 10, 'shap_error': 0.003655920237884535, 'weighted_error': 1.0000442849467248}
{'sample_size': 1000, 'difference': 3, 'noise': 0.1, 'n': 10, 'shap_error': 0.0019693980833915227, 'weighted_error': 1.0000235428773852}
{'sample_size': 1000, 'difference': -5, 'noise': 0.5, 'n': 10, 'shap_error': 0.028898737980799043, 'weighted_error': 1.000271870526488}
{'sample_size': 1000, 'difference': 3, 'noise': 1, 'n': 10, 'shap_error': 0.022974106638418233, 'weighted_error': 1.0001081145227435}
