{'sample_size': 790, 'difference': -56, 'noise': 0.005, 'n': 79, 'shap_error': 13.63317533465577}
{'sample_size': 790, 'difference': -14, 'noise': 0.01, 'n': 79, 'shap_error': 11.815801903315565}
{'sample_size': 790, 'difference': 34, 'noise': 0.05, 'n': 79, 'shap_error': 1.9427816936024505}
{'sample_size': 790, 'difference': -62, 'noise': 0.1, 'n': 79, 'shap_error': 2.142204022249003}
{'sample_size': 790, 'difference': 26, 'noise': 0.5, 'n': 79, 'shap_error': 2.0611925816726426}
{'sample_size': 790, 'difference': 20, 'noise': 1, 'n': 79, 'shap_error': 2892.017277915332}
{'sample_size': 790, 'difference': -70, 'noise': 0.0005, 'n': 79, 'shap_error': 0.14978378623419797}
{'sample_size': 790, 'difference': 18, 'noise': 0.001, 'n': 79, 'shap_error': 0.1656846017950827}
{'sample_size': 790, 'difference': -22, 'noise': 0.005, 'n': 79, 'shap_error': 1.0556713392348842}
{'sample_size': 790, 'difference': 64, 'noise': 0.01, 'n': 79, 'shap_error': 0.1553270477757706}
{'sample_size': 790, 'difference': 44, 'noise': 0.05, 'n': 79, 'shap_error': 0.15089558551791243}
{'sample_size': 790, 'difference': 28, 'noise': 0.1, 'n': 79, 'shap_error': 0.15104057053548292}
{'sample_size': 790, 'difference': 22, 'noise': 0.5, 'n': 79, 'shap_error': 0.15825795563440148}
{'sample_size': 790, 'difference': 22, 'noise': 1, 'n': 79, 'shap_error': 0.1472602292666473}
{'sample_size': 790, 'difference': -48, 'noise': 0.0005, 'n': 79, 'shap_error': 0.5366750573073794}
{'sample_size': 790, 'difference': -12, 'noise': 0.001, 'n': 79, 'shap_error': 0.5251606674940023}
{'sample_size': 790, 'difference': 40, 'noise': 0.005, 'n': 79, 'shap_error': 0.5207867898343647}
{'sample_size': 790, 'difference': 14, 'noise': 0.01, 'n': 79, 'shap_error': 0.5250278233066711}
{'sample_size': 790, 'difference': -10, 'noise': 0.05, 'n': 79, 'shap_error': 0.5079043514701733}
{'sample_size': 790, 'difference': 8, 'noise': 0.1, 'n': 79, 'shap_error': 0.504348943918458}
{'sample_size': 790, 'difference': -8, 'noise': 0.5, 'n': 79, 'shap_error': 1.9022390361522519}
{'sample_size': 790, 'difference': 12, 'noise': 1, 'n': 79, 'shap_error': 1.2731186588452181}
{'sample_size': 790, 'difference': -2, 'noise': 0.0005, 'n': 79, 'shap_error': 1.3747008082446717}
{'sample_size': 790, 'difference': -6, 'noise': 0.001, 'n': 79, 'shap_error': 1.3082075435826952}
{'sample_size': 790, 'difference': -38, 'noise': 0.005, 'n': 79, 'shap_error': 1.305819400538373}
{'sample_size': 790, 'difference': 30, 'noise': 0.01, 'n': 79, 'shap_error': 1.322021125704827}
{'sample_size': 790, 'difference': 40, 'noise': 0.05, 'n': 79, 'shap_error': 1.4357314474024667}
{'sample_size': 790, 'difference': 18, 'noise': 0.1, 'n': 79, 'shap_error': 1.2964853401587884}
{'sample_size': 790, 'difference': -50, 'noise': 0.5, 'n': 79, 'shap_error': 1.3108755257145948}
{'sample_size': 790, 'difference': -18, 'noise': 1, 'n': 79, 'shap_error': 1.393523115550611}
{'sample_size': 790, 'difference': -22, 'noise': 0.0005, 'n': 79, 'shap_error': 0.4820080427320584}
{'sample_size': 790, 'difference': 30, 'noise': 0.001, 'n': 79, 'shap_error': 0.46730099950683485}
{'sample_size': 790, 'difference': 6, 'noise': 0.005, 'n': 79, 'shap_error': 0.47874732641040285}
{'sample_size': 790, 'difference': -14, 'noise': 0.01, 'n': 79, 'shap_error': 1.2933692377624204}
{'sample_size': 790, 'difference': 32, 'noise': 0.05, 'n': 79, 'shap_error': 0.4750400844437833}
{'sample_size': 790, 'difference': -68, 'noise': 0.1, 'n': 79, 'shap_error': 0.47764913423080463}
{'sample_size': 790, 'difference': -28, 'noise': 0.5, 'n': 79, 'shap_error': 2.6289435817144136}
{'sample_size': 790, 'difference': -52, 'noise': 1, 'n': 79, 'shap_error': 0.48755789206845385}
{'sample_size': 790, 'difference': -10, 'noise': 0.0005, 'n': 79, 'shap_error': 0.10748333639781622}
{'sample_size': 790, 'difference': 62, 'noise': 0.001, 'n': 79, 'shap_error': 0.2717410044651435}
