{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.7141214670026244e-07, 'weighted_error': 1.000028945675772, 'gamma': 0.35}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.4389540902074324e-08, 'weighted_error': 1.0000058009202915, 'gamma': 0.35}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.0817928508094866e-08, 'weighted_error': 1.0000022213431679, 'gamma': 0.35}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0626384320991068e-08, 'weighted_error': 1.0000011336475263, 'gamma': 0.35}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4165890079829045e-05, 'weighted_error': 1.0000639960384854, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.832445737410592e-05, 'weighted_error': 1.0001544604298838, 'gamma': 0.094}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1879903711803607e-05, 'weighted_error': 1.0000579442209216, 'gamma': 0.094}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.664019293857242e-05, 'weighted_error': 1.0000440685121514, 'gamma': 0.094}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.181565528154009e-06, 'weighted_error': 1.0000243159879008, 'gamma': 0.094}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.888860452530622e-06, 'weighted_error': 1.0000182439657108, 'gamma': 0.094}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.475253232722316e-05, 'weighted_error': 1.001739611896371, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.861001983913152e-06, 'weighted_error': 1.000482197656765, 'gamma': 0.012}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.931458281968478e-06, 'weighted_error': 1.0003466027561692, 'gamma': 0.012}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.6471088155073191e-06, 'weighted_error': 1.000115766792604, 'gamma': 0.012}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.976274337344057e-07, 'weighted_error': 1.0000349775259791, 'gamma': 0.012}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.6599991588963636e-07, 'weighted_error': 1.0000186940314693, 'gamma': 0.012}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.287731639259148e-06, 'weighted_error': 1.0001736080584387, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.968845043569223e-06, 'weighted_error': 1.0001459759277485, 'gamma': 0.044}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.5693749373940183e-05, 'weighted_error': 1.0003287652494326, 'gamma': 0.044}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.729868305457058e-06, 'weighted_error': 1.0000781420459797, 'gamma': 0.044}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.829689808327646e-06, 'weighted_error': 1.0000383346904598, 'gamma': 0.044}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.6063920494465996e-07, 'weighted_error': 1.0000075551567793, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00021789579612741086, 'weighted_error': 1.0002526070040523, 'gamma': 0.054}
