{'sample_size': 16000, 'difference': 32, 'noise': 0, 'n': 60, 'shap_error': 2.7370984435781326e-06}
{'sample_size': 1000, 'difference': -52, 'noise': 0, 'n': 60, 'shap_error': 0.00013035086209408592}
{'sample_size': 1000, 'difference': -80, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00017473241297826783}
{'sample_size': 1000, 'difference': -56, 'noise': 0.001, 'n': 60, 'shap_error': 0.00014704909549925603}
{'sample_size': 1000, 'difference': -60, 'noise': 0.005, 'n': 60, 'shap_error': 0.00016412765979658515}
{'sample_size': 1000, 'difference': -42, 'noise': 0.01, 'n': 60, 'shap_error': 0.00016421609519118882}
{'sample_size': 1000, 'difference': 22, 'noise': 0.05, 'n': 60, 'shap_error': 0.00019216797501022577}
{'sample_size': 1000, 'difference': -126, 'noise': 0.1, 'n': 60, 'shap_error': 0.00020127689606724364}
{'sample_size': 1000, 'difference': -46, 'noise': 0.5, 'n': 60, 'shap_error': 0.0026405330579038658}
{'sample_size': 1000, 'difference': -94, 'noise': 1, 'n': 60, 'shap_error': 0.010427147667202733}
{'sample_size': 1000, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 1.312611958874915e-06}
{'sample_size': 1000, 'difference': -44, 'noise': 0.0005, 'n': 60, 'shap_error': 1.2804657966644652e-06}
{'sample_size': 1000, 'difference': -40, 'noise': 0.001, 'n': 60, 'shap_error': 1.6384957977648629e-06}
{'sample_size': 1000, 'difference': -124, 'noise': 0.005, 'n': 60, 'shap_error': 1.7443956632896239e-06}
{'sample_size': 1000, 'difference': -12, 'noise': 0.01, 'n': 60, 'shap_error': 4.560136570072151e-06}
{'sample_size': 1000, 'difference': -28, 'noise': 0.05, 'n': 60, 'shap_error': 6.321766102559735e-05}
{'sample_size': 1000, 'difference': -136, 'noise': 0.1, 'n': 60, 'shap_error': 0.00023442448998711783}
{'sample_size': 1000, 'difference': -22, 'noise': 0.5, 'n': 60, 'shap_error': 0.005893732687405705}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 60, 'shap_error': 0.02157682409459986}
{'sample_size': 1000, 'difference': -94, 'noise': 0, 'n': 60, 'shap_error': 0.00012755623341758617}
