{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 1.445344173702986e-14, 'weighted_error': 0.9999999999984687, 'gamma': 0.35}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 1.445344172053072e-14, 'weighted_error': 0.9999999999984682, 'gamma': 0.35}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 1.4453441734038846e-14, 'weighted_error': 0.9999999999984684, 'gamma': 0.35}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 1.4453441727293053e-14, 'weighted_error': 0.9999999999984687, 'gamma': 0.35}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 1.0268274592346997e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 1.0268274574351533e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 1.026827457949093e-14, 'weighted_error': 0.999999999999974, 'gamma': 0.094}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 1.0268274600032667e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 1.0268274570222668e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 1.026827458280599e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 2.3751456000439294e-14, 'weighted_error': 0.9999999999987966, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 2.3751456044054546e-14, 'weighted_error': 0.9999999999987964, 'gamma': 0.012}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 2.3751456038662823e-14, 'weighted_error': 0.9999999999987964, 'gamma': 0.012}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 2.3751456024006214e-14, 'weighted_error': 0.9999999999987966, 'gamma': 0.012}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 2.375145601829816e-14, 'weighted_error': 0.9999999999987964, 'gamma': 0.012}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 2.375145607095358e-14, 'weighted_error': 0.9999999999987963, 'gamma': 0.012}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 4.5038178997666546e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 4.503817904767884e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 4.5038178995259125e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 4.503817896429047e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 4.5038179032459616e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 4.503817897143755e-14, 'weighted_error': 0.9999999999994281, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 3.6652444115047615e-14, 'weighted_error': 0.9999999999999645, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 7.40425167374012e-09, 'weighted_error': 1.0000000084595728, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 4.08003068172071e-08, 'weighted_error': 1.0000000468053885, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 1.3361460510849647e-06, 'weighted_error': 1.000001537642331, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 2.091279949697898e-06, 'weighted_error': 1.0000023780559513, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 5.286215962971492e-05, 'weighted_error': 1.0000601241553306, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0005447569551001022, 'weighted_error': 1.0006269004671666, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.007627145529814455, 'weighted_error': 1.008726170546083, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.022509946357803456, 'weighted_error': 1.0256317530400998, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 4.707790777291665e-14, 'weighted_error': 0.9999999999985169, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 7.871973149156696e-09, 'weighted_error': 1.0000002657463185, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 3.162144997596556e-08, 'weighted_error': 1.0000010691015473, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 7.043366872517442e-07, 'weighted_error': 1.0000233344222045, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 2.7810885935683785e-06, 'weighted_error': 1.000091885037804, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 7.438072887414712e-05, 'weighted_error': 1.0024867611540202, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.00042524583046675123, 'weighted_error': 1.0149372211210184, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.008877722312685658, 'weighted_error': 1.304922100427358, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.014398429118766275, 'weighted_error': 1.3947883036644986, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 1.6360087842616824e-13, 'weighted_error': 0.9999999999881934, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 1.2287720523623895e-08, 'weighted_error': 1.0000004903550404, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 4.6326283928021825e-08, 'weighted_error': 1.0000017012148896, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 1.3329180705559502e-06, 'weighted_error': 1.0000574128061175, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 4.872337756361985e-06, 'weighted_error': 1.0001905759143546, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.0001448421265714673, 'weighted_error': 1.0067187822732273, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0006712805748187207, 'weighted_error': 1.0346756978931844, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.013845908625748509, 'weighted_error': 1.6176684707913418, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.07276821859478824, 'weighted_error': 4.946397095256476, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 3.1721604452925604e-14, 'weighted_error': 0.9999999999998611, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 1.9418766555528032e-08, 'weighted_error': 1.0000000508180944, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 1.4551789367197355e-07, 'weighted_error': 1.0000005443599203, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 2.6427908206278065e-06, 'weighted_error': 1.0000086060751379, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 1.0108857335063076e-05, 'weighted_error': 1.000032097127646, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.0002429745186172465, 'weighted_error': 1.0007534580917599, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0007920403457903112, 'weighted_error': 1.002109493962516, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.018253424057968357, 'weighted_error': 1.0449566440885738, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.09436422709899403, 'weighted_error': 1.2871749444922014, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 6.197666741385624e-14, 'weighted_error': 0.9999999999997892, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 4.664169585855011e-08, 'weighted_error': 1.000000065030769, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 2.0376593328668412e-07, 'weighted_error': 1.0000003261209953, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 5.7949559751774564e-06, 'weighted_error': 1.0000108373140877, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 1.926994626160456e-05, 'weighted_error': 1.00002837826666, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.0005253933070851141, 'weighted_error': 1.0008766152831867, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0019612856459775333, 'weighted_error': 1.0029693351842148, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.04626675814267893, 'weighted_error': 1.063644128595541, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.1982005772279543, 'weighted_error': 1.3048683359614168, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 2.3139509479566552e-14, 'weighted_error': 0.9999999999996583, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 7.57249910702374e-09, 'weighted_error': 1.0000001631800268, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 4.2051547529827224e-08, 'weighted_error': 1.0000009122441949, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 1.9495872312627165e-06, 'weighted_error': 1.0000426520970944, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 4.583255682627499e-06, 'weighted_error': 1.0000996025592443, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.0001812291291913965, 'weighted_error': 1.0039621090874222, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0006545946455097926, 'weighted_error': 1.014295300127898, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.013183419223383577, 'weighted_error': 1.2871238381888497, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.08587628841115362, 'weighted_error': 2.880424018418725, 'gamma': 0.12}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 1.4453441700171763e-14, 'weighted_error': 0.9999999999984682, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 7.912500862267049e-09, 'weighted_error': 1.0000006919177677, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 7.246105635121495e-08, 'weighted_error': 1.0000071207151315, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 9.009522583345003e-07, 'weighted_error': 1.0000808303161854, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 7.063227264133732e-06, 'weighted_error': 1.0006922766636714, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.00014606880223322596, 'weighted_error': 1.0140533157625131, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.00038741997190240845, 'weighted_error': 1.0352203416627976, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.010751679695391673, 'weighted_error': 1.9942064076877812, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.05082598595536883, 'weighted_error': 5.810670724261766, 'gamma': 0.35}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 1.0268274570559126e-14, 'weighted_error': 0.9999999999999741, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 1.5063348121432452e-08, 'weighted_error': 1.000000037649029, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 6.786350391412832e-08, 'weighted_error': 1.0000001708794322, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 1.434075560911279e-06, 'weighted_error': 1.0000035771970566, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 2.360716841986436e-06, 'weighted_error': 1.0000053706797492, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.00010867507488054432, 'weighted_error': 1.0002657650271687, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.00029031718852323484, 'weighted_error': 1.0006806884525798, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.00816354162257514, 'weighted_error': 1.0194155434060046, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.06246369886200194, 'weighted_error': 1.15660537053127, 'gamma': 0.094}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 2.3751456050413528e-14, 'weighted_error': 0.9999999999987963, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 2.7489149240286386e-08, 'weighted_error': 1.0000015122660737, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 1.438068263490691e-07, 'weighted_error': 1.00000842959463, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 2.993244540536202e-06, 'weighted_error': 1.0001685169602461, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 5.34542169135144e-06, 'weighted_error': 1.0002082741502716, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 0.00021544418796400492, 'weighted_error': 1.010955674121098, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0009369611972710179, 'weighted_error': 1.0491065994964546, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.024300976241576858, 'weighted_error': 2.289297423069025, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.05576672925991688, 'weighted_error': 3.2450327836299557, 'gamma': 0.012}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 4.503817903806078e-14, 'weighted_error': 0.9999999999994283, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.0005, 'n': 8, 'shap_error': 7.869571784001506e-09, 'weighted_error': 1.0000001578000504, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.001, 'n': 8, 'shap_error': 6.678705925097808e-08, 'weighted_error': 1.0000013705468795, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.005, 'n': 8, 'shap_error': 1.8743355873727356e-06, 'weighted_error': 1.0000385627841337, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.01, 'n': 8, 'shap_error': 2.496263964078058e-06, 'weighted_error': 1.000049511152577, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.05, 'n': 8, 'shap_error': 9.31362113459374e-05, 'weighted_error': 1.0018816858081416, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.1, 'n': 8, 'shap_error': 0.0005628661508988916, 'weighted_error': 1.0115137447013094, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0.5, 'n': 8, 'shap_error': 0.02054808049312552, 'weighted_error': 1.4235108065130075, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 1, 'n': 8, 'shap_error': 0.04159374985020996, 'weighted_error': 1.843578116053665, 'gamma': 0.044}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 3.6652444182152996e-14, 'weighted_error': 0.9999999999999643, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 3.665244419355988e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 3.6652444302993145e-14, 'weighted_error': 0.9999999999999645, 'gamma': 0.054}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 3.6652444182122735e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 3.665244422797106e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 3.66524444054633e-14, 'weighted_error': 0.9999999999999645, 'gamma': 0.054}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 4.7962090015312005e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 4.796208985113709e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 4.796208989591902e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 4.7962089877648066e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 4.7962089854441355e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 4.7962090208578295e-14, 'weighted_error': 0.9999999999998697, 'gamma': 0.035}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 5.054098519980809e-14, 'weighted_error': 0.9999999999995126, 'gamma': 0.05}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 5.054098506754465e-14, 'weighted_error': 0.9999999999995126, 'gamma': 0.05}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 5.0540985104764904e-14, 'weighted_error': 0.9999999999995126, 'gamma': 0.05}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 5.0540985120097103e-14, 'weighted_error': 0.9999999999995126, 'gamma': 0.05}
