{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.7852570198891e-05, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 1.0048385879487522}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00013270610000371263, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 1.00834364330622}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0003453646432640963, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.2487624220992894}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.653340519265836e-05, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0479253557024295}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.8072783857587965e-05, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0130178599822202}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.601395700554224e-05, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0331407917926596}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.8532755372925263e-05, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0133478585316027}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.394077331912651e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0046052400899979}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.03718712760540821, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.5329965065953066}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.008499225634993807, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.1216913929247678}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.010701673422487254, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.1535931527672016}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0003687314046146118, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.0052953189138703}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0006065395961198793, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.008692824668001}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.584990835414381e-05, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 1.0007962267218349}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 3.9979409555618773e-22}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748986287e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 5.485546892515133e-23}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.4876059369532565e-22}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.9867474898441002e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.8176685042147604e-22}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.524796085377088e-22}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 8.181832653242912e-23}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0008113177625091742, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.613297253193483}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0001180407439422225, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.089229063811967}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.790424696367165e-05, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.036209749834517}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.347276158520087e-05, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0630976469462539}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1827811481760889e-05, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0089404032954161}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.002784502697674e-06, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0052946367195255}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.15552780383888343, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.176667648062292}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.09773192776291739, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.1111009216977068}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.04520318698860197, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.0514694301927938}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.003040024611585784, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.0034877473872335}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.006576500805807297, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.0074568141298463}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0011858156154529907, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 1.0013348317735629}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0015170093058331957, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0856485481830058}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0010458098730740065, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0590461440482524}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0008538495944782825, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0482071320534039}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.6951330303435816e-06, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0001521099424187}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00018328890989188394, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0103480339193303}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.667226609604008e-06, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.000432998766958}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.170268895970581, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.2074612935559723}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.029824441329997224, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.036338955779245}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.005441133235212827, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0066297333450467}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0026738393924714446, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0032578729097195}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0070878255208527184, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.008635977655386}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00044893413636766153, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0005470051020393}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0002158008501660351, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.1671873133228674}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.476250631926476e-05, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.0346791136204925}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2001439687724063e-05, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.0092968732986487}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1560204472089084e-05, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.0089570662836314}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.401142349050874e-07, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.000573274560706}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3797375210220715e-06, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 1.0018442829045098}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.03210625698888538, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.1462481726257516}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.019754734063793484, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.0899177862688194}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.018642757521834766, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.0848788881266513}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.010597344949115009, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.0482832178564447}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.002763863600337498, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.0125687783252402}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0006928672302451146, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 1.003163687147633}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.317807442039005e-05, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.362138861802215}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.245414937838471e-05, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.1860422411811702}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.639316176431775e-05, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0939741812690778}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.120731234616869e-06, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0293522523808731}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.415303992471426e-07, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0013844761407233}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.0633058691289714e-07, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.002329872880328}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.5570033048059986e-05, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.1465873484749134}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.0093988954506845e-05, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.057869887431402}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.303659290464929e-07, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0024682271981988}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1263816825279357e-06, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0064596596917892}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.586740221689054e-07, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0054973583614402}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.2751091359389103e-07, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0024521035929956}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.05407831694954216, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.2030863595319525}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.006531563570951858, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0245260754863106}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.008054910862033866, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0302602697061507}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00524115947586014, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0196782545311038}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.006637661902633727, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0249234621178336}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0009934175287547625, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0037305674474635}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698367504e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 2.9952401390360497e-23}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698348854e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 4.851938704754302e-23}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698372078e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 3.135368332675163e-23}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698461114e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.8076536979445632e-22}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.94828969843296e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.0527130547138397e-22}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.948289698362842e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 7.89972691640502e-23}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.943162785981064e-06, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.0225970311659462}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.288779218847558e-05, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.131203332045834}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.3582921986115515e-06, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.0077841152229041}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.756096438547406e-07, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.0015789006930742}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.29807518419417e-06, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.0074380085500956}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.872727848409236e-07, 'shap_norm_sq': 0.9782784240542208, 'weighted_error': 1.001645781723806}
