{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.5923166842514625e-05, 'weighted_error': 1.0038308895560184, 'gamma': 0.35}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.896519332100578e-05, 'weighted_error': 1.0030888892202587, 'gamma': 0.35}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.866246547400236e-06, 'weighted_error': 1.000412296721067, 'gamma': 0.35}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.837936336003229e-06, 'weighted_error': 1.00072920764471, 'gamma': 0.35}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00402807410741346, 'weighted_error': 1.0106673456311186, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0030534881183167965, 'weighted_error': 1.0080864164463603, 'gamma': 0.094}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0007314989395904815, 'weighted_error': 1.0019371896150144, 'gamma': 0.094}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00090013352060973, 'weighted_error': 1.0023837774395625, 'gamma': 0.094}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006362201892216876, 'weighted_error': 1.0016848717116271, 'gamma': 0.094}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.9107036686224762e-05, 'weighted_error': 1.0000506015628505, 'gamma': 0.094}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.630153481634811e-05, 'weighted_error': 1.0053623862285002, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.399447127257982e-05, 'weighted_error': 1.0059030310040304, 'gamma': 0.012}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.141960545817505e-05, 'weighted_error': 1.006424948313489, 'gamma': 0.012}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.321791324041278e-05, 'weighted_error': 1.0016317413074673, 'gamma': 0.012}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.005576504493244e-05, 'weighted_error': 1.0007066809693035, 'gamma': 0.012}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.552252328713665e-06, 'weighted_error': 1.0006713115686723, 'gamma': 0.012}
