{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00024025641818501206, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.006446830328838}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.500041821335392, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.573570544410922}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.13625484459515871, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.1562904868453112}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.015717560797986665, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0180287755400672}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.025881836146501084, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0296876141136542}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013749213576824475, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0157709839882823}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004169433651560021, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0047825240237604}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.09438226166213447, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.2962587616444812}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0402806083185063, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.1264377698769126}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.018578669923844306, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0583171824880402}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011650770423295749, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0365709340817317}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0031203170123725514, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.009794470751993}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0014077090874540935, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0044186806757998}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.17253683056973274, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.1496602724066431}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06673404080721582, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0578858131921485}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02740074930497804, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0237677190310872}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.026207615916547928, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0227327833568203}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.014415957119052684, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0125045322394042}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.006489598364371022, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0056291286554437}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.024630873581565835, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.1998832341512695}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.021571310200416638, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.1750546388605654}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0039601637026050185, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0321373421557514}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0029118654560860795, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0236302717909087}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0010322179669510607, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0083766477900205}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00030062067922635125, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0024395841413625}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.04904951689266798, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.113891844289023}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.019544562145025684, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0453820134926348}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.017759218421435546, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0412364916673946}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00932794172325459, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.021659260165879}
