{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.6025838505348555e-07, 'weighted_error': 1.0000170868278986, 'gamma': 0.35}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.672561310118492e-08, 'weighted_error': 1.0000081782661379, 'gamma': 0.35}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.924054724769148e-08, 'weighted_error': 1.000006321007537, 'gamma': 0.35}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.495814790026362e-08, 'weighted_error': 1.000002660322117, 'gamma': 0.35}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.8110042633666154e-05, 'weighted_error': 1.0001274075637028, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.079614649862455e-05, 'weighted_error': 1.0002404494683959, 'gamma': 0.094}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.2292107347284808e-05, 'weighted_error': 1.0000590338839628, 'gamma': 0.094}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.500489369328794e-06, 'weighted_error': 1.0000225106749796, 'gamma': 0.094}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.819950825439107e-06, 'weighted_error': 1.000010115474467, 'gamma': 0.094}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.20267597070889e-06, 'weighted_error': 1.000013777205391, 'gamma': 0.094}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.0370770944765482e-05, 'weighted_error': 1.001431620755934, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.128088427293668e-06, 'weighted_error': 1.0005712452431046, 'gamma': 0.012}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.7741128545072724e-06, 'weighted_error': 1.0001949661779503, 'gamma': 0.012}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.896354195909012e-06, 'weighted_error': 1.0002035540271907, 'gamma': 0.012}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.227843149232742e-07, 'weighted_error': 1.0000367380256352, 'gamma': 0.012}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.788726418121997e-07, 'weighted_error': 1.0000477140275235, 'gamma': 0.012}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.959991261981291e-05, 'weighted_error': 1.0008295342080582, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1219365077544917e-05, 'weighted_error': 1.0004445140289802, 'gamma': 0.044}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.508124876116491e-06, 'weighted_error': 1.0001991654529234, 'gamma': 0.044}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.600494782098896e-06, 'weighted_error': 1.0000963750212652, 'gamma': 0.044}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.932338662248079e-06, 'weighted_error': 1.0000823791840483, 'gamma': 0.044}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.7427991557625647e-07, 'weighted_error': 1.0000078402776347, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00014423763331395263, 'weighted_error': 1.0001672139554563, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00016982205999155375, 'weighted_error': 1.000196877640803, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00015461390567303706, 'weighted_error': 1.000179243221269, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0001094403074254401, 'weighted_error': 1.0001267894138555, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.000172041934033335, 'weighted_error': 1.0001991001272759, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0002146539967525364, 'weighted_error': 1.0002400402947866, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00025032396519375494, 'weighted_error': 1.000254954383832, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0015486382614761625, 'weighted_error': 1.0009140850194314, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.00971625999673342, 'weighted_error': 1.0077391476288635, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.303403055456634e-06, 'weighted_error': 1.0003244038057126, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.91838030738242e-05, 'weighted_error': 1.0019212127152033, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 3.2380231371262805e-05, 'weighted_error': 1.0012635308877926, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.3945828171490678e-05, 'weighted_error': 1.0005048362958573, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.8617004618048445e-05, 'weighted_error': 1.0005672108941328, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00012894228286155948, 'weighted_error': 1.0010343474534207, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0004377998887917757, 'weighted_error': 1.0010910925336534, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.012088243195972155, 'weighted_error': 1.071947991907323, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.045530280628043006, 'weighted_error': 1.177504021424031, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4076923345090384e-05, 'weighted_error': 1.0020438023847749, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.276833205126179e-05, 'weighted_error': 1.003630460558609, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 2.875545259414769e-05, 'weighted_error': 1.0024403214956228, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 4.047152355282403e-05, 'weighted_error': 1.0034208489694048, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 4.257269832170541e-06, 'weighted_error': 1.0003030751385602, 'gamma': 0.0014}
