{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00018224631229621743, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.004890175777645}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.22630288520484318, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.259579710362391}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.10490496072729658, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.1203307728937146}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.029561520860040113, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0339083866705094}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03899613595182335, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0447303550223925}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.01444640387876555, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.016570680037194}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.012654111525630106, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0145148629226397}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.053089606071577665, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.1666442264716155}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02018350563215099, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0633544572739306}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008757829072182637, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0274901434416333}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.021814235565593386, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0684732166320143}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002789193457772229, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0087550849363431}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0011381275799821186, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.003572520454842}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.31439835268223515, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.2727123512736265}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.14720685903380562, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.1276887683480916}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023671192298533462, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0205326840836433}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03016754279539594, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0261676697245257}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.018132362110580374, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0157282149280342}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003348280485755216, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0029043436602514}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03422530211360351, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.277743867804032}
